Country Name,Country Code,Indicator Name,Indicator Code,yr2012,yr2013,yr2014,yr2015,yr2016,yr2017,yr2018,yr2019,yr2020,yr2021,yr2022
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,25609.95572,26515.67808,26942.30798,28421.38649,28451.27374,29326.70806,30918.51522,31902.76258,24487.86357,29342.10073,
Africa Eastern and Southern,AFE,GDP per capita (current US$),NY.GDP.PCAP.CD,1765.250073,1736.222507,1724.534381,1545.559084,1436.094404,1613.668488,1550.111762,1499.954437,1353.927527,1539.165543,1622.39172
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,663.1410528,651.9878619,628.1468039,592.4761648,520.2519549,530.1498626,502.0570992,500.5229808,516.8667974,363.6740871,
Africa Western and Central,AFW,GDP per capita (current US$),NY.GDP.PCAP.CD,1957.519614,2153.766138,2247.857492,1880.750778,1646.972399,1588.581005,1732.816544,1810.538006,1686.997899,1765.965307,1790.3488
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,4962.552072,5101.983876,5059.080441,3100.830685,1709.515534,2283.214233,2487.500996,2142.238757,1502.950754,1903.717405,2998.501158
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,4247.631356,4413.063397,4578.633208,3952.803584,4124.05539,4531.032207,5287.660817,5396.214227,5343.037704,6377.203096,6802.804519
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,44902.38077,44747.75386,45680.53499,38885.53032,39931.21698,40632.23155,42904.82846,41328.6005,37207.222,42072.3411,41992.79336
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,7365.456849,7348.84955,7302.25035,6283.256026,6113.397738,6224.52297,6573.81697,6498.529037,5639.398735,6414.725618,7655.848402
United Arab Emirates,ARE,GDP per capita (current US$),NY.GDP.PCAP.CD,44386.78608,45729.60768,46865.9646,41525.1389,41054.53957,43063.96748,46722.26872,45376.17084,37629.17417,44315.55418,53757.86325
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,13082.66433,13080.25473,12334.79825,13789.06042,12790.26406,14613.03571,11795.16289,9963.674231,8496.428157,10636.11553,13686.00867
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,3643.715404,3833.157071,4017.229913,3666.141825,3679.952349,4041.995072,4391.923274,4828.504889,4505.867746,4966.513471,7014.206592
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,11920.06109,12038.87159,12313.99736,13101.54182,13300.82461,12372.88478,13195.9359,13672.57666,15501.52634,15743.31076,
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,13686.47659,13350.14914,14004.81121,14861.88271,15862.65166,16110.3124,17514.35586,18187.77971,15284.77238,16740.3482,18745.17351
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,68047.37818,68156.3861,62515.31483,56708.9612,49876.71238,53934.15437,57206.99067,54941.06572,51722.069,60444.50236,64491.42989
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,48564.91734,50731.12725,51786.37717,44195.81759,45307.58786,47429.15846,51466.55656,50070.40335,48809.22688,53637.70571,52131.44666
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,7495.861942,7875.344611,7890.83525,5500.50462,3880.686267,4147.198619,4739.795242,4805.753718,4229.910649,5408.045352,7736.701232
Burundi,BDI,GDP per capita (current US$),NY.GDP.PCAP.CD,238.2059453,241.5476657,257.8185575,289.3596271,242.5395274,244.1454221,232.0606166,216.9729709,216.8274174,221.1578034,238.4418757
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,44670.56068,46757.95186,47764.07151,41008.29672,42012.62272,44198.48239,47544.98115,46641.71166,45517.90382,51268.38804,49582.82536
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1112.569535,1214.295566,1251.504765,1041.652523,1049.820303,1095.274459,1194.438214,1170.965533,1237.949295,1361.100749,1303.222014
Burkina Faso,BFA,GDP per capita (current US$),NY.GDP.PCAP.CD,733.9728789,762.3037803,767.3713442,632.1266858,665.7863285,711.1845439,779.2027681,772.1668775,833.2443361,893.077196,832.8842657
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,876.8180068,973.7739002,1108.514957,1236.004398,1659.962489,1815.610191,1963.412707,2122.078386,2233.305893,2457.924049,2688.30395
Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,7431.014045,7686.629222,7912.52054,7081.102336,7574.191264,8386.589202,9451.85087,9878.768872,10153.4766,12222.23565,13772.47679
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,25102.72635,25790.73031,25464.7601,22795.44886,22867.18112,24349.90987,25415.84662,25869.11291,23433.18724,26860.0725,30152.03468
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,28059.6554,27389.60197,28720.66219,29724.95334,29675.53589,30708.98702,31483.97884,32279.01136,23998.26802,28260.43255,31458.30081
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,4688.345902,5025.240652,5196.969426,4654.609552,4917.263698,5327.393184,6024.491546,6094.723214,6095.102479,7230.198163,7585.375002
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,6953.217307,7998.077953,8341.288104,5967.069185,5039.776032,5785.534975,6360.05206,6837.767232,6542.86454,7489.718947,7904.856243
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,5645.895822,5887.933435,6068.088609,6142.478833,6148.706961,6100.994681,6059.162553,6210.565543,5266.87616,6228.267309,6968.361585
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,98431.86518,99471.6389,98467.68399,102005.6256,106885.8785,111820.5815,113050.7369,116153.1661,107791.8864,111774.6691,118845.6211
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,2562.466784,2853.797162,3022.462884,2975.648811,3013.502707,3280.008214,3471.006951,3472.380831,3068.812555,3345.196588,3523.273733
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,12327.51556,12258.56485,12071.40465,8783.214413,8680.735421,9896.717511,9121.020092,8845.323931,6923.700197,7696.785531,8917.673898
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,16691.33264,16893.60627,16924.19034,16990.21947,17343.72544,17843.19793,18224.89059,19002.96238,16643.80658,17225.4623,20018.51515
Brunei Darussalam,BRN,GDP per capita (current US$),NY.GDP.PCAP.CD,46844.19672,43950.05706,41035.77314,30681.43744,26762.03743,28186.98339,31241.02397,30748.32019,27179.34442,31448.91361,37152.46624
Bhutan,BTN,GDP per capita (current US$),NY.GDP.PCAP.CD,2470.072136,2409.439989,2589.899141,2695.636904,2879.546572,3240.706326,3210.707814,3303.962309,3009.925516,3266.362774,
Botswana,BWA,GDP per capita (current US$),NY.GDP.PCAP.CD,6392.987347,6436.603063,6844.032996,5869.737772,6411.551666,6705.341062,6947.817841,6691.161051,5875.070606,7238.796096,7737.654681
