Week,monkeypox,mpox,country
2022-11-06,23,0,Argentina
2022-11-13,24,0,Argentina
2022-11-20,90,0,Argentina
2022-11-27,48,100,Argentina
2022-12-04,0,0,Argentina
2022-12-11,35,0,Argentina
2022-12-18,0,0,Argentina
2022-12-25,97,0,Argentina
2023-01-01,0,36,Argentina
2023-01-08,0,0,Argentina
2023-01-15,0,37,Argentina
2023-01-22,0,58,Argentina
2023-01-29,50,0,Argentina
2023-02-05,39,0,Argentina
2023-02-12,74,0,Argentina
2023-02-19,0,0,Argentina
2023-02-26,0,0,Argentina
2023-03-05,0,62,Argentina
2023-03-12,39,0,Argentina
2023-03-19,0,29,Argentina
2023-03-26,0,0,Argentina
2023-04-02,30,0,Argentina
2023-04-09,53,0,Argentina
2023-04-16,0,0,Argentina
2023-04-23,0,0,Argentina
2023-04-30,0,0,Argentina
2023-05-07,27,49,Argentina
2023-05-14,0,0,Argentina
2023-05-21,60,0,Argentina
2023-05-28,24,0,Argentina
2023-06-04,0,36,Argentina
2023-06-11,41,35,Argentina
2023-06-18,33,0,Argentina
2023-06-25,21,73,Argentina
2023-07-02,0,0,Argentina
2023-07-09,0,42,Argentina
2023-07-16,59,0,Argentina
2023-07-23,43,0,Argentina
2023-07-30,0,22,Argentina
2023-08-06,0,27,Argentina
2023-08-13,0,94,Argentina
2023-08-20,0,55,Argentina
2023-08-27,0,0,Argentina
2023-09-03,0,24,Argentina
2023-09-10,0,0,Argentina
2023-09-17,0,51,Argentina
2023-09-24,0,0,Argentina
2023-10-01,0,50,Argentina
2023-10-08,31,0,Argentina
2023-10-15,0,0,Argentina
2023-10-22,0,0,Argentina
2023-10-29,0,83,Argentina
2023-11-05,28,28,Argentina
2023-11-12,0,23,Argentina
2023-11-19,0,0,Argentina
2023-11-26,0,0,Argentina
