Week,monkeypox,mpox,country
2022-11-06,100,0,Australia
2022-11-13,81,5,Australia
2022-11-20,54,0,Australia
2022-11-27,57,4,Australia
2022-12-04,36,0,Australia
2022-12-11,43,4,Australia
2022-12-18,47,6,Australia
2022-12-25,27,10,Australia
2023-01-01,26,2,Australia
2023-01-08,30,8,Australia
2023-01-15,33,6,Australia
2023-01-22,22,0,Australia
2023-01-29,28,7,Australia
2023-02-05,29,9,Australia
2023-02-12,37,6,Australia
2023-02-19,28,43,Australia
2023-02-26,27,9,Australia
2023-03-05,21,5,Australia
2023-03-12,21,0,Australia
2023-03-19,20,4,Australia
2023-03-26,24,3,Australia
2023-04-02,19,0,Australia
2023-04-09,13,0,Australia
2023-04-16,16,4,Australia
2023-04-23,15,2,Australia
2023-04-30,28,20,Australia
2023-05-07,25,13,Australia
2023-05-14,27,2,Australia
2023-05-21,16,7,Australia
2023-05-28,11,5,Australia
2023-06-04,16,2,Australia
2023-06-11,15,4,Australia
2023-06-18,11,4,Australia
2023-06-25,8,2,Australia
2023-07-02,8,5,Australia
2023-07-09,14,0,Australia
2023-07-16,7,3,Australia
2023-07-23,9,2,Australia
2023-07-30,16,17,Australia
2023-08-06,12,5,Australia
2023-08-13,14,12,Australia
2023-08-20,24,0,Australia
2023-08-27,17,4,Australia
2023-09-03,11,3,Australia
2023-09-10,16,0,Australia
2023-09-17,12,3,Australia
2023-09-24,14,7,Australia
2023-10-01,9,6,Australia
2023-10-08,8,3,Australia
2023-10-15,10,0,Australia
2023-10-22,8,5,Australia
2023-10-29,0,7,Australia
2023-11-05,35,4,Australia
2023-11-12,8,3,Australia
2023-11-19,8,5,Australia
2023-11-26,3,0,Australia
