Week,monkeypox,mpox,country
2022-11-06,31,0,Austria
2022-11-13,46,0,Austria
2022-11-20,0,0,Austria
2022-11-27,38,0,Austria
2022-12-04,0,0,Austria
2022-12-11,0,0,Austria
2022-12-18,0,0,Austria
2022-12-25,37,0,Austria
2023-01-01,39,34,Austria
2023-01-08,53,0,Austria
2023-01-15,22,0,Austria
2023-01-22,43,0,Austria
2023-01-29,0,0,Austria
2023-02-05,0,0,Austria
2023-02-12,57,0,Austria
2023-02-19,0,42,Austria
2023-02-26,0,28,Austria
2023-03-05,0,0,Austria
2023-03-12,25,0,Austria
2023-03-19,0,0,Austria
2023-03-26,0,37,Austria
2023-04-02,0,0,Austria
2023-04-09,0,0,Austria
2023-04-16,23,0,Austria
2023-04-23,0,0,Austria
2023-04-30,0,0,Austria
2023-05-07,0,0,Austria
2023-05-14,0,0,Austria
2023-05-21,0,0,Austria
2023-05-28,0,0,Austria
2023-06-04,0,0,Austria
2023-06-11,0,0,Austria
2023-06-18,0,0,Austria
2023-06-25,0,100,Austria
2023-07-02,0,0,Austria
2023-07-09,0,49,Austria
2023-07-16,0,0,Austria
2023-07-23,0,0,Austria
2023-07-30,0,0,Austria
2023-08-06,33,0,Austria
2023-08-13,28,0,Austria
2023-08-20,0,0,Austria
2023-08-27,0,0,Austria
2023-09-03,0,0,Austria
2023-09-10,95,0,Austria
2023-09-17,0,0,Austria
2023-09-24,0,0,Austria
2023-10-01,0,0,Austria
2023-10-08,23,0,Austria
2023-10-15,0,71,Austria
2023-10-22,38,0,Austria
2023-10-29,29,65,Austria
2023-11-05,37,0,Austria
2023-11-12,35,0,Austria
2023-11-19,0,0,Austria
2023-11-26,0,0,Austria
