Week,monkeypox,mpox,country
2022-11-06,17,0,Bahrain
2022-11-13,0,0,Bahrain
2022-11-20,48,0,Bahrain
2022-11-27,15,0,Bahrain
2022-12-04,26,0,Bahrain
2022-12-11,0,0,Bahrain
2022-12-18,0,0,Bahrain
2022-12-25,0,0,Bahrain
2023-01-01,0,0,Bahrain
2023-01-08,0,0,Bahrain
2023-01-15,0,0,Bahrain
2023-01-22,0,0,Bahrain
2023-01-29,0,0,Bahrain
2023-02-05,0,0,Bahrain
2023-02-12,0,0,Bahrain
2023-02-19,0,0,Bahrain
2023-02-26,0,0,Bahrain
2023-03-05,0,0,Bahrain
2023-03-12,0,0,Bahrain
2023-03-19,0,0,Bahrain
2023-03-26,32,0,Bahrain
2023-04-02,0,0,Bahrain
2023-04-09,31,0,Bahrain
2023-04-16,41,0,Bahrain
2023-04-23,100,0,Bahrain
2023-04-30,0,0,Bahrain
2023-05-07,57,0,Bahrain
2023-05-14,19,0,Bahrain
2023-05-21,0,0,Bahrain
2023-05-28,0,0,Bahrain
2023-06-04,0,0,Bahrain
2023-06-11,22,0,Bahrain
2023-06-18,0,0,Bahrain
2023-06-25,0,0,Bahrain
2023-07-02,30,0,Bahrain
2023-07-09,0,0,Bahrain
2023-07-16,0,0,Bahrain
2023-07-23,23,0,Bahrain
2023-07-30,0,0,Bahrain
2023-08-06,64,0,Bahrain
2023-08-13,0,0,Bahrain
2023-08-20,0,0,Bahrain
2023-08-27,0,0,Bahrain
2023-09-03,0,0,Bahrain
2023-09-10,0,0,Bahrain
2023-09-17,0,0,Bahrain
2023-09-24,0,0,Bahrain
2023-10-01,0,0,Bahrain
2023-10-08,0,0,Bahrain
2023-10-15,0,0,Bahrain
2023-10-22,0,0,Bahrain
2023-10-29,0,0,Bahrain
2023-11-05,0,0,Bahrain
2023-11-12,38,0,Bahrain
2023-11-19,26,0,Bahrain
2023-11-26,0,0,Bahrain
