Week,monkeypox,mpox,country
2022-11-06,100,0,Bangladesh
2022-11-13,64,0,Bangladesh
2022-11-20,41,41,Bangladesh
2022-11-27,0,0,Bangladesh
2022-12-04,59,0,Bangladesh
2022-12-11,85,0,Bangladesh
2022-12-18,83,0,Bangladesh
2022-12-25,86,0,Bangladesh
2023-01-01,70,0,Bangladesh
2023-01-08,0,41,Bangladesh
2023-01-15,0,33,Bangladesh
2023-01-22,0,0,Bangladesh
2023-01-29,50,32,Bangladesh
2023-02-05,64,0,Bangladesh
2023-02-12,0,0,Bangladesh
2023-02-19,0,39,Bangladesh
2023-02-26,25,72,Bangladesh
2023-03-05,0,0,Bangladesh
2023-03-12,0,0,Bangladesh
2023-03-19,0,0,Bangladesh
2023-03-26,0,0,Bangladesh
2023-04-02,0,0,Bangladesh
2023-04-09,0,0,Bangladesh
2023-04-16,0,0,Bangladesh
2023-04-23,0,36,Bangladesh
2023-04-30,35,0,Bangladesh
2023-05-07,0,0,Bangladesh
2023-05-14,0,0,Bangladesh
2023-05-21,34,0,Bangladesh
2023-05-28,62,0,Bangladesh
2023-06-04,0,0,Bangladesh
2023-06-11,0,81,Bangladesh
2023-06-18,0,0,Bangladesh
2023-06-25,0,80,Bangladesh
2023-07-02,0,0,Bangladesh
2023-07-09,0,0,Bangladesh
2023-07-16,0,27,Bangladesh
2023-07-23,0,0,Bangladesh
2023-07-30,0,36,Bangladesh
2023-08-06,0,0,Bangladesh
2023-08-13,0,45,Bangladesh
2023-08-20,0,0,Bangladesh
2023-08-27,0,0,Bangladesh
2023-09-03,0,0,Bangladesh
2023-09-10,0,0,Bangladesh
2023-09-17,24,0,Bangladesh
2023-09-24,0,61,Bangladesh
2023-10-01,0,0,Bangladesh
2023-10-08,0,23,Bangladesh
2023-10-15,0,27,Bangladesh
2023-10-22,52,0,Bangladesh
2023-10-29,24,0,Bangladesh
2023-11-05,0,0,Bangladesh
2023-11-12,0,0,Bangladesh
2023-11-19,0,0,Bangladesh
2023-11-26,0,0,Bangladesh
