Week,monkeypox,mpox,country
2022-11-06,0,0,Belgium
2022-11-13,34,0,Belgium
2022-11-20,29,13,Belgium
2022-11-27,30,14,Belgium
2022-12-04,0,15,Belgium
2022-12-11,0,0,Belgium
2022-12-18,19,0,Belgium
2022-12-25,0,0,Belgium
2023-01-01,34,12,Belgium
2023-01-08,40,22,Belgium
2023-01-15,0,0,Belgium
2023-01-22,0,11,Belgium
2023-01-29,0,0,Belgium
2023-02-05,0,0,Belgium
2023-02-12,0,24,Belgium
2023-02-19,0,0,Belgium
2023-02-26,27,0,Belgium
2023-03-05,12,0,Belgium
2023-03-12,19,0,Belgium
2023-03-19,0,0,Belgium
2023-03-26,0,0,Belgium
2023-04-02,0,0,Belgium
2023-04-09,0,0,Belgium
2023-04-16,0,0,Belgium
2023-04-23,48,0,Belgium
2023-04-30,0,0,Belgium
2023-05-07,0,0,Belgium
2023-05-14,0,20,Belgium
2023-05-21,0,25,Belgium
2023-05-28,33,0,Belgium
2023-06-04,19,0,Belgium
2023-06-11,0,0,Belgium
2023-06-18,0,0,Belgium
2023-06-25,26,13,Belgium
2023-07-02,0,0,Belgium
2023-07-09,0,0,Belgium
2023-07-16,0,0,Belgium
2023-07-23,0,0,Belgium
2023-07-30,0,0,Belgium
2023-08-06,0,0,Belgium
2023-08-13,0,18,Belgium
2023-08-20,0,0,Belgium
2023-08-27,0,0,Belgium
2023-09-03,28,0,Belgium
2023-09-10,24,0,Belgium
2023-09-17,0,100,Belgium
2023-09-24,0,0,Belgium
2023-10-01,21,24,Belgium
2023-10-08,0,0,Belgium
2023-10-15,0,0,Belgium
2023-10-22,32,0,Belgium
2023-10-29,25,33,Belgium
2023-11-05,16,17,Belgium
2023-11-12,0,0,Belgium
2023-11-19,0,0,Belgium
2023-11-26,33,32,Belgium
