Week,monkeypox,mpox,country
2022-11-06,37,0,Brazil
2022-11-13,26,0,Brazil
2022-11-20,21,1,Brazil
2022-11-27,22,5,Brazil
2022-12-04,21,3,Brazil
2022-12-11,17,5,Brazil
2022-12-18,14,2,Brazil
2022-12-25,12,3,Brazil
2023-01-01,23,2,Brazil
2023-01-08,12,1,Brazil
2023-01-15,15,2,Brazil
2023-01-22,11,2,Brazil
2023-01-29,13,1,Brazil
2023-02-05,10,<1,Brazil
2023-02-12,9,4,Brazil
2023-02-19,6,2,Brazil
2023-02-26,9,2,Brazil
2023-03-05,10,17,Brazil
2023-03-12,27,100,Brazil
2023-03-19,15,41,Brazil
2023-03-26,11,3,Brazil
2023-04-02,11,2,Brazil
2023-04-09,11,12,Brazil
2023-04-16,8,2,Brazil
2023-04-23,13,1,Brazil
2023-04-30,19,25,Brazil
2023-05-07,11,19,Brazil
2023-05-14,7,3,Brazil
2023-05-21,7,3,Brazil
2023-05-28,7,4,Brazil
2023-06-04,4,2,Brazil
2023-06-11,5,3,Brazil
2023-06-18,4,4,Brazil
2023-06-25,5,2,Brazil
2023-07-02,4,2,Brazil
2023-07-09,3,1,Brazil
2023-07-16,5,2,Brazil
2023-07-23,4,1,Brazil
2023-07-30,5,1,Brazil
2023-08-06,4,0,Brazil
2023-08-13,4,19,Brazil
2023-08-20,6,1,Brazil
2023-08-27,4,9,Brazil
2023-09-03,3,0,Brazil
2023-09-10,3,1,Brazil
2023-09-17,5,1,Brazil
2023-09-24,3,1,Brazil
2023-10-01,2,1,Brazil
2023-10-08,8,1,Brazil
2023-10-15,3,1,Brazil
2023-10-22,4,2,Brazil
2023-10-29,4,0,Brazil
2023-11-05,5,0,Brazil
2023-11-12,3,1,Brazil
2023-11-19,5,0,Brazil
2023-11-26,4,2,Brazil
