Week,monkeypox,mpox,country
2022-11-06,85,0,Canada
2022-11-13,72,0,Canada
2022-11-20,54,0,Canada
2022-11-27,100,19,Canada
2022-12-04,55,5,Canada
2022-12-11,45,4,Canada
2022-12-18,35,5,Canada
2022-12-25,26,3,Canada
2023-01-01,49,7,Canada
2023-01-08,23,4,Canada
2023-01-15,34,3,Canada
2023-01-22,31,5,Canada
2023-01-29,22,11,Canada
2023-02-05,31,6,Canada
2023-02-12,22,14,Canada
2023-02-19,23,11,Canada
2023-02-26,14,2,Canada
2023-03-05,12,3,Canada
2023-03-12,17,5,Canada
2023-03-19,23,13,Canada
2023-03-26,35,24,Canada
2023-04-02,18,25,Canada
2023-04-09,18,13,Canada
2023-04-16,21,6,Canada
2023-04-23,25,5,Canada
2023-04-30,16,0,Canada
2023-05-07,25,13,Canada
2023-05-14,20,4,Canada
2023-05-21,14,9,Canada
2023-05-28,9,5,Canada
2023-06-04,23,6,Canada
2023-06-11,20,10,Canada
2023-06-18,15,8,Canada
2023-06-25,18,6,Canada
2023-07-02,13,5,Canada
2023-07-09,24,4,Canada
2023-07-16,18,4,Canada
2023-07-23,10,9,Canada
2023-07-30,15,2,Canada
2023-08-06,15,9,Canada
2023-08-13,24,29,Canada
2023-08-20,12,6,Canada
2023-08-27,9,5,Canada
2023-09-03,6,4,Canada
2023-09-10,10,3,Canada
2023-09-17,15,0,Canada
2023-09-24,13,4,Canada
2023-10-01,10,3,Canada
2023-10-08,4,7,Canada
2023-10-15,8,2,Canada
2023-10-22,7,0,Canada
2023-10-29,15,6,Canada
2023-11-05,9,0,Canada
2023-11-12,6,2,Canada
2023-11-19,6,2,Canada
2023-11-26,7,12,Canada
