Week,monkeypox,mpox,country
2022-11-06,17,0,Chile
2022-11-13,32,0,Chile
2022-11-20,0,0,Chile
2022-11-27,30,59,Chile
2022-12-04,30,17,Chile
2022-12-11,24,0,Chile
2022-12-18,22,100,Chile
2022-12-25,0,0,Chile
2023-01-01,0,27,Chile
2023-01-08,48,34,Chile
2023-01-15,36,42,Chile
2023-01-22,0,52,Chile
2023-01-29,0,37,Chile
2023-02-05,0,0,Chile
2023-02-12,0,39,Chile
2023-02-19,0,49,Chile
2023-02-26,0,27,Chile
2023-03-05,18,0,Chile
2023-03-12,0,0,Chile
2023-03-19,31,0,Chile
2023-03-26,24,0,Chile
2023-04-02,16,0,Chile
2023-04-09,0,31,Chile
2023-04-16,0,0,Chile
2023-04-23,0,37,Chile
2023-04-30,23,0,Chile
2023-05-07,0,0,Chile
2023-05-14,0,0,Chile
2023-05-21,16,17,Chile
2023-05-28,0,42,Chile
2023-06-04,0,14,Chile
2023-06-11,0,0,Chile
2023-06-18,17,14,Chile
2023-06-25,0,0,Chile
2023-07-02,0,0,Chile
2023-07-09,0,0,Chile
2023-07-16,0,0,Chile
2023-07-23,0,0,Chile
2023-07-30,0,0,Chile
2023-08-06,0,23,Chile
2023-08-13,0,0,Chile
2023-08-20,58,0,Chile
2023-08-27,0,14,Chile
2023-09-03,16,0,Chile
2023-09-10,57,0,Chile
2023-09-17,0,0,Chile
2023-09-24,33,0,Chile
2023-10-01,0,0,Chile
2023-10-08,0,0,Chile
2023-10-15,0,0,Chile
2023-10-22,0,0,Chile
2023-10-29,39,0,Chile
2023-11-05,0,53,Chile
2023-11-12,0,0,Chile
2023-11-19,0,0,Chile
2023-11-26,0,0,Chile
