Week,monkeypox,mpox,country
2022-11-06,0,0,China
2022-11-13,54,0,China
2022-11-20,31,0,China
2022-11-27,41,0,China
2022-12-04,28,0,China
2022-12-11,72,0,China
2022-12-18,0,0,China
2022-12-25,41,0,China
2023-01-01,43,0,China
2023-01-08,0,32,China
2023-01-15,53,44,China
2023-01-22,100,0,China
2023-01-29,0,0,China
2023-02-05,0,0,China
2023-02-12,0,0,China
2023-02-19,38,0,China
2023-02-26,32,0,China
2023-03-05,22,0,China
2023-03-12,0,0,China
2023-03-19,0,0,China
2023-03-26,0,0,China
2023-04-02,0,0,China
2023-04-09,0,64,China
2023-04-16,0,0,China
2023-04-23,0,0,China
2023-04-30,35,50,China
2023-05-07,0,0,China
2023-05-14,0,0,China
2023-05-21,0,0,China
2023-05-28,0,0,China
2023-06-04,0,39,China
2023-06-11,0,0,China
2023-06-18,0,0,China
2023-06-25,22,23,China
2023-07-02,0,0,China
2023-07-09,0,0,China
2023-07-16,0,0,China
2023-07-23,0,56,China
2023-07-30,0,37,China
2023-08-06,25,0,China
2023-08-13,24,0,China
2023-08-20,0,0,China
2023-08-27,0,0,China
2023-09-03,31,0,China
2023-09-10,35,26,China
2023-09-17,42,0,China
2023-09-24,0,0,China
2023-10-01,0,0,China
2023-10-08,41,0,China
2023-10-15,0,45,China
2023-10-22,0,0,China
2023-10-29,0,0,China
2023-11-05,23,0,China
2023-11-12,0,0,China
2023-11-19,0,0,China
2023-11-26,0,0,China
