Week,monkeypox,mpox,country
2022-11-06,22,0,Colombia
2022-11-13,45,48,Colombia
2022-11-20,18,0,Colombia
2022-11-27,23,10,Colombia
2022-12-04,0,0,Colombia
2022-12-11,0,15,Colombia
2022-12-18,22,0,Colombia
2022-12-25,17,0,Colombia
2023-01-01,0,100,Colombia
2023-01-08,0,0,Colombia
2023-01-15,0,22,Colombia
2023-01-22,0,0,Colombia
2023-01-29,0,0,Colombia
2023-02-05,23,0,Colombia
2023-02-12,0,0,Colombia
2023-02-19,0,22,Colombia
2023-02-26,16,0,Colombia
2023-03-05,14,0,Colombia
2023-03-12,0,8,Colombia
2023-03-19,0,0,Colombia
2023-03-26,0,0,Colombia
2023-04-02,20,15,Colombia
2023-04-09,0,32,Colombia
2023-04-16,0,0,Colombia
2023-04-23,19,0,Colombia
2023-04-30,0,12,Colombia
2023-05-07,13,0,Colombia
2023-05-14,13,15,Colombia
2023-05-21,0,0,Colombia
2023-05-28,0,31,Colombia
2023-06-04,10,0,Colombia
2023-06-11,0,14,Colombia
2023-06-18,32,0,Colombia
2023-06-25,0,17,Colombia
2023-07-02,0,0,Colombia
2023-07-09,0,0,Colombia
2023-07-16,0,0,Colombia
2023-07-23,10,0,Colombia
2023-07-30,0,14,Colombia
2023-08-06,0,0,Colombia
2023-08-13,0,0,Colombia
2023-08-20,0,11,Colombia
2023-08-27,64,0,Colombia
2023-09-03,13,0,Colombia
2023-09-10,30,0,Colombia
2023-09-17,0,0,Colombia
2023-09-24,31,34,Colombia
2023-10-01,0,12,Colombia
2023-10-08,23,0,Colombia
2023-10-15,0,26,Colombia
2023-10-22,0,10,Colombia
2023-10-29,0,0,Colombia
2023-11-05,0,32,Colombia
2023-11-12,0,0,Colombia
2023-11-19,0,0,Colombia
2023-11-26,0,11,Colombia
