Week,monkeypox,mpox,country
2022-11-06,27,0,Congo - Brazzaville
2022-11-13,0,0,Congo - Brazzaville
2022-11-20,0,0,Congo - Brazzaville
2022-11-27,36,0,Congo - Brazzaville
2022-12-04,0,0,Congo - Brazzaville
2022-12-11,41,0,Congo - Brazzaville
2022-12-18,0,0,Congo - Brazzaville
2022-12-25,0,0,Congo - Brazzaville
2023-01-01,0,0,Congo - Brazzaville
2023-01-08,0,0,Congo - Brazzaville
2023-01-15,44,0,Congo - Brazzaville
2023-01-22,0,0,Congo - Brazzaville
2023-01-29,27,0,Congo - Brazzaville
2023-02-05,0,0,Congo - Brazzaville
2023-02-12,0,0,Congo - Brazzaville
2023-02-19,0,0,Congo - Brazzaville
2023-02-26,0,0,Congo - Brazzaville
2023-03-05,0,0,Congo - Brazzaville
2023-03-12,0,0,Congo - Brazzaville
2023-03-19,0,0,Congo - Brazzaville
2023-03-26,0,0,Congo - Brazzaville
2023-04-02,0,0,Congo - Brazzaville
2023-04-09,0,0,Congo - Brazzaville
2023-04-16,0,0,Congo - Brazzaville
2023-04-23,0,0,Congo - Brazzaville
2023-04-30,100,0,Congo - Brazzaville
2023-05-07,18,0,Congo - Brazzaville
2023-05-14,0,0,Congo - Brazzaville
2023-05-21,0,0,Congo - Brazzaville
2023-05-28,0,0,Congo - Brazzaville
2023-06-04,0,0,Congo - Brazzaville
2023-06-11,19,0,Congo - Brazzaville
2023-06-18,27,0,Congo - Brazzaville
2023-06-25,25,0,Congo - Brazzaville
2023-07-02,0,0,Congo - Brazzaville
2023-07-09,0,0,Congo - Brazzaville
2023-07-16,0,0,Congo - Brazzaville
2023-07-23,0,0,Congo - Brazzaville
2023-07-30,20,0,Congo - Brazzaville
2023-08-06,0,0,Congo - Brazzaville
2023-08-13,0,0,Congo - Brazzaville
2023-08-20,0,0,Congo - Brazzaville
2023-08-27,0,0,Congo - Brazzaville
2023-09-03,0,0,Congo - Brazzaville
2023-09-10,21,0,Congo - Brazzaville
2023-09-17,0,0,Congo - Brazzaville
2023-09-24,0,0,Congo - Brazzaville
2023-10-01,0,0,Congo - Brazzaville
2023-10-08,0,0,Congo - Brazzaville
2023-10-15,0,0,Congo - Brazzaville
2023-10-22,56,0,Congo - Brazzaville
2023-10-29,0,0,Congo - Brazzaville
2023-11-05,55,0,Congo - Brazzaville
2023-11-12,0,0,Congo - Brazzaville
2023-11-19,0,0,Congo - Brazzaville
2023-11-26,0,0,Congo - Brazzaville
