Week,monkeypox,mpox,country
2022-11-06,0,0,Costa Rica
2022-11-13,0,0,Costa Rica
2022-11-20,19,0,Costa Rica
2022-11-27,73,0,Costa Rica
2022-12-04,0,0,Costa Rica
2022-12-11,0,0,Costa Rica
2022-12-18,47,0,Costa Rica
2022-12-25,35,0,Costa Rica
2023-01-01,0,31,Costa Rica
2023-01-08,0,18,Costa Rica
2023-01-15,0,49,Costa Rica
2023-01-22,0,26,Costa Rica
2023-01-29,0,0,Costa Rica
2023-02-05,0,35,Costa Rica
2023-02-12,0,0,Costa Rica
2023-02-19,33,19,Costa Rica
2023-02-26,19,95,Costa Rica
2023-03-05,0,33,Costa Rica
2023-03-12,0,0,Costa Rica
2023-03-19,0,0,Costa Rica
2023-03-26,0,0,Costa Rica
2023-04-02,0,0,Costa Rica
2023-04-09,21,35,Costa Rica
2023-04-16,0,0,Costa Rica
2023-04-23,0,33,Costa Rica
2023-04-30,0,0,Costa Rica
2023-05-07,0,22,Costa Rica
2023-05-14,0,0,Costa Rica
2023-05-21,0,0,Costa Rica
2023-05-28,0,0,Costa Rica
2023-06-04,0,0,Costa Rica
2023-06-11,37,0,Costa Rica
2023-06-18,0,0,Costa Rica
2023-06-25,0,0,Costa Rica
2023-07-02,0,0,Costa Rica
2023-07-09,39,0,Costa Rica
2023-07-16,0,69,Costa Rica
2023-07-23,39,0,Costa Rica
2023-07-30,0,20,Costa Rica
2023-08-06,0,0,Costa Rica
2023-08-13,0,29,Costa Rica
2023-08-20,0,0,Costa Rica
2023-08-27,0,55,Costa Rica
2023-09-03,0,0,Costa Rica
2023-09-10,0,0,Costa Rica
2023-09-17,0,100,Costa Rica
2023-09-24,0,0,Costa Rica
2023-10-01,0,0,Costa Rica
2023-10-08,0,0,Costa Rica
2023-10-15,0,59,Costa Rica
2023-10-22,0,0,Costa Rica
2023-10-29,0,0,Costa Rica
2023-11-05,0,0,Costa Rica
2023-11-12,0,0,Costa Rica
2023-11-19,18,0,Costa Rica
2023-11-26,0,85,Costa Rica
