Week,monkeypox,mpox,country
2022-11-06,54,0,Egypt
2022-11-13,54,0,Egypt
2022-11-20,31,22,Egypt
2022-11-27,45,24,Egypt
2022-12-04,59,28,Egypt
2022-12-11,100,0,Egypt
2022-12-18,18,0,Egypt
2022-12-25,24,0,Egypt
2023-01-01,28,0,Egypt
2023-01-08,0,19,Egypt
2023-01-15,0,0,Egypt
2023-01-22,0,0,Egypt
2023-01-29,16,0,Egypt
2023-02-05,17,0,Egypt
2023-02-12,24,0,Egypt
2023-02-19,43,0,Egypt
2023-02-26,65,0,Egypt
2023-03-05,0,16,Egypt
2023-03-12,20,0,Egypt
2023-03-19,34,0,Egypt
2023-03-26,0,0,Egypt
2023-04-02,0,0,Egypt
2023-04-09,32,18,Egypt
2023-04-16,0,78,Egypt
2023-04-23,68,17,Egypt
2023-04-30,19,0,Egypt
2023-05-07,63,0,Egypt
2023-05-14,29,0,Egypt
2023-05-21,31,26,Egypt
2023-05-28,27,49,Egypt
2023-06-04,26,0,Egypt
2023-06-11,0,22,Egypt
2023-06-18,32,0,Egypt
2023-06-25,0,0,Egypt
2023-07-02,0,0,Egypt
2023-07-09,24,0,Egypt
2023-07-16,28,0,Egypt
2023-07-23,36,0,Egypt
2023-07-30,0,0,Egypt
2023-08-06,0,47,Egypt
2023-08-13,0,0,Egypt
2023-08-20,0,0,Egypt
2023-08-27,0,0,Egypt
2023-09-03,0,0,Egypt
2023-09-10,0,0,Egypt
2023-09-17,0,0,Egypt
2023-09-24,0,0,Egypt
2023-10-01,0,0,Egypt
2023-10-08,50,0,Egypt
2023-10-15,0,28,Egypt
2023-10-22,17,0,Egypt
2023-10-29,0,18,Egypt
2023-11-05,34,0,Egypt
2023-11-12,0,0,Egypt
2023-11-19,0,0,Egypt
2023-11-26,0,0,Egypt
