Week,monkeypox,mpox,country
2022-11-06,100,26,France
2022-11-13,90,0,France
2022-11-20,88,0,France
2022-11-27,87,0,France
2022-12-04,64,0,France
2022-12-11,86,0,France
2022-12-18,90,0,France
2022-12-25,40,0,France
2023-01-01,46,9,France
2023-01-08,35,8,France
2023-01-15,58,0,France
2023-01-22,29,0,France
2023-01-29,40,8,France
2023-02-05,20,9,France
2023-02-12,22,28,France
2023-02-19,38,0,France
2023-02-26,59,0,France
2023-03-05,20,0,France
2023-03-12,27,0,France
2023-03-19,31,0,France
2023-03-26,24,20,France
2023-04-02,30,9,France
2023-04-09,8,21,France
2023-04-16,46,19,France
2023-04-23,23,23,France
2023-04-30,13,78,France
2023-05-07,42,41,France
2023-05-14,0,0,France
2023-05-21,27,0,France
2023-05-28,39,0,France
2023-06-04,15,0,France
2023-06-11,15,0,France
2023-06-18,17,0,France
2023-06-25,10,50,France
2023-07-02,28,14,France
2023-07-09,32,8,France
2023-07-16,16,14,France
2023-07-23,22,0,France
2023-07-30,30,21,France
2023-08-06,27,12,France
2023-08-13,0,13,France
2023-08-20,48,0,France
2023-08-27,38,0,France
2023-09-03,23,0,France
2023-09-10,21,8,France
2023-09-17,26,31,France
2023-09-24,14,0,France
2023-10-01,36,0,France
2023-10-08,24,11,France
2023-10-15,15,30,France
2023-10-22,13,13,France
2023-10-29,11,0,France
2023-11-05,0,18,France
2023-11-12,0,34,France
2023-11-19,9,0,France
2023-11-26,0,28,France
