Week,monkeypox,mpox,country
2022-11-06,29,0,Germany
2022-11-13,58,15,Germany
2022-11-20,30,15,Germany
2022-11-27,27,22,Germany
2022-12-04,36,19,Germany
2022-12-11,30,10,Germany
2022-12-18,10,0,Germany
2022-12-25,29,10,Germany
2023-01-01,12,28,Germany
2023-01-08,32,26,Germany
2023-01-15,10,0,Germany
2023-01-22,7,22,Germany
2023-01-29,0,21,Germany
2023-02-05,32,15,Germany
2023-02-12,0,42,Germany
2023-02-19,27,24,Germany
2023-02-26,27,28,Germany
2023-03-05,21,13,Germany
2023-03-12,19,12,Germany
2023-03-19,14,0,Germany
2023-03-26,14,24,Germany
2023-04-02,12,19,Germany
2023-04-09,19,18,Germany
2023-04-16,0,32,Germany
2023-04-23,0,38,Germany
2023-04-30,37,27,Germany
2023-05-07,12,23,Germany
2023-05-14,8,0,Germany
2023-05-21,22,13,Germany
2023-05-28,26,14,Germany
2023-06-04,10,21,Germany
2023-06-11,23,26,Germany
2023-06-18,16,12,Germany
2023-06-25,0,0,Germany
2023-07-02,18,0,Germany
2023-07-09,0,18,Germany
2023-07-16,16,8,Germany
2023-07-23,18,17,Germany
2023-07-30,0,34,Germany
2023-08-06,20,8,Germany
2023-08-13,0,0,Germany
2023-08-20,26,16,Germany
2023-08-27,0,22,Germany
2023-09-03,0,14,Germany
2023-09-10,43,0,Germany
2023-09-17,0,34,Germany
2023-09-24,28,0,Germany
2023-10-01,13,18,Germany
2023-10-08,0,19,Germany
2023-10-15,0,0,Germany
2023-10-22,0,0,Germany
2023-10-29,14,100,Germany
2023-11-05,34,42,Germany
2023-11-12,9,22,Germany
2023-11-19,20,0,Germany
2023-11-26,0,28,Germany
