Week,monkeypox,mpox,country
2022-11-06,0,0,Greece
2022-11-13,0,0,Greece
2022-11-20,25,19,Greece
2022-11-27,0,31,Greece
2022-12-04,37,0,Greece
2022-12-11,28,0,Greece
2022-12-18,0,0,Greece
2022-12-25,0,0,Greece
2023-01-01,47,0,Greece
2023-01-08,0,0,Greece
2023-01-15,31,0,Greece
2023-01-22,0,78,Greece
2023-01-29,0,24,Greece
2023-02-05,0,0,Greece
2023-02-12,0,0,Greece
2023-02-19,44,0,Greece
2023-02-26,32,0,Greece
2023-03-05,0,0,Greece
2023-03-12,0,0,Greece
2023-03-19,0,92,Greece
2023-03-26,37,50,Greece
2023-04-02,0,31,Greece
2023-04-09,0,0,Greece
2023-04-16,0,0,Greece
2023-04-23,0,0,Greece
2023-04-30,0,0,Greece
2023-05-07,0,0,Greece
2023-05-14,42,0,Greece
2023-05-21,0,0,Greece
2023-05-28,0,26,Greece
2023-06-04,0,0,Greece
2023-06-11,0,20,Greece
2023-06-18,0,0,Greece
2023-06-25,58,0,Greece
2023-07-02,0,0,Greece
2023-07-09,0,0,Greece
2023-07-16,0,0,Greece
2023-07-23,25,0,Greece
2023-07-30,0,0,Greece
2023-08-06,76,0,Greece
2023-08-13,23,0,Greece
2023-08-20,30,0,Greece
2023-08-27,0,0,Greece
2023-09-03,0,0,Greece
2023-09-10,0,0,Greece
2023-09-17,0,0,Greece
2023-09-24,0,0,Greece
2023-10-01,0,0,Greece
2023-10-08,0,0,Greece
2023-10-15,49,0,Greece
2023-10-22,0,0,Greece
2023-10-29,0,20,Greece
2023-11-05,27,0,Greece
2023-11-12,0,0,Greece
2023-11-19,0,37,Greece
2023-11-26,0,100,Greece
