Week,monkeypox,mpox,country
2022-11-06,36,0,Guatemala
2022-11-13,0,0,Guatemala
2022-11-20,0,0,Guatemala
2022-11-27,0,0,Guatemala
2022-12-04,0,0,Guatemala
2022-12-11,0,56,Guatemala
2022-12-18,0,0,Guatemala
2022-12-25,0,0,Guatemala
2023-01-01,0,0,Guatemala
2023-01-08,0,0,Guatemala
2023-01-15,58,0,Guatemala
2023-01-22,0,26,Guatemala
2023-01-29,0,0,Guatemala
2023-02-05,0,0,Guatemala
2023-02-12,62,0,Guatemala
2023-02-19,0,92,Guatemala
2023-02-26,0,28,Guatemala
2023-03-05,0,0,Guatemala
2023-03-12,30,0,Guatemala
2023-03-19,0,86,Guatemala
2023-03-26,52,0,Guatemala
2023-04-02,0,83,Guatemala
2023-04-09,0,0,Guatemala
2023-04-16,40,41,Guatemala
2023-04-23,0,45,Guatemala
2023-04-30,47,0,Guatemala
2023-05-07,0,0,Guatemala
2023-05-14,0,0,Guatemala
2023-05-21,0,0,Guatemala
2023-05-28,0,0,Guatemala
2023-06-04,0,53,Guatemala
2023-06-11,35,91,Guatemala
2023-06-18,0,0,Guatemala
2023-06-25,39,0,Guatemala
2023-07-02,0,30,Guatemala
2023-07-09,0,0,Guatemala
2023-07-16,0,0,Guatemala
2023-07-23,0,0,Guatemala
2023-07-30,53,0,Guatemala
2023-08-06,0,0,Guatemala
2023-08-13,39,0,Guatemala
2023-08-20,0,61,Guatemala
2023-08-27,67,56,Guatemala
2023-09-03,0,0,Guatemala
2023-09-10,0,0,Guatemala
2023-09-17,0,0,Guatemala
2023-09-24,0,0,Guatemala
2023-10-01,0,63,Guatemala
2023-10-08,0,37,Guatemala
2023-10-15,0,0,Guatemala
2023-10-22,0,0,Guatemala
2023-10-29,0,0,Guatemala
2023-11-05,0,0,Guatemala
2023-11-12,0,100,Guatemala
2023-11-19,57,0,Guatemala
2023-11-26,0,46,Guatemala
