Week,monkeypox,mpox,country
2022-11-06,64,0,Hong Kong
2022-11-13,15,23,Hong Kong
2022-11-20,42,0,Hong Kong
2022-11-27,43,29,Hong Kong
2022-12-04,38,0,Hong Kong
2022-12-11,35,0,Hong Kong
2022-12-18,0,0,Hong Kong
2022-12-25,18,45,Hong Kong
2023-01-01,20,0,Hong Kong
2023-01-08,0,0,Hong Kong
2023-01-15,0,0,Hong Kong
2023-01-22,34,0,Hong Kong
2023-01-29,34,0,Hong Kong
2023-02-05,0,0,Hong Kong
2023-02-12,19,0,Hong Kong
2023-02-19,23,18,Hong Kong
2023-02-26,0,29,Hong Kong
2023-03-05,0,0,Hong Kong
2023-03-12,30,0,Hong Kong
2023-03-19,37,0,Hong Kong
2023-03-26,0,0,Hong Kong
2023-04-02,18,0,Hong Kong
2023-04-09,32,16,Hong Kong
2023-04-16,37,58,Hong Kong
2023-04-23,12,0,Hong Kong
2023-04-30,54,17,Hong Kong
2023-05-07,66,0,Hong Kong
2023-05-14,44,0,Hong Kong
2023-05-21,0,19,Hong Kong
2023-05-28,0,0,Hong Kong
2023-06-04,20,0,Hong Kong
2023-06-11,21,0,Hong Kong
2023-06-18,21,0,Hong Kong
2023-06-25,13,0,Hong Kong
2023-07-02,0,0,Hong Kong
2023-07-09,0,0,Hong Kong
2023-07-16,0,16,Hong Kong
2023-07-23,83,19,Hong Kong
2023-07-30,31,27,Hong Kong
2023-08-06,30,39,Hong Kong
2023-08-13,100,40,Hong Kong
2023-08-20,53,43,Hong Kong
2023-08-27,35,0,Hong Kong
2023-09-03,28,0,Hong Kong
2023-09-10,48,51,Hong Kong
2023-09-17,32,20,Hong Kong
2023-09-24,26,0,Hong Kong
2023-10-01,0,0,Hong Kong
2023-10-08,39,0,Hong Kong
2023-10-15,0,0,Hong Kong
2023-10-22,0,0,Hong Kong
2023-10-29,38,0,Hong Kong
2023-11-05,0,36,Hong Kong
2023-11-12,0,39,Hong Kong
2023-11-19,27,0,Hong Kong
2023-11-26,23,0,Hong Kong
