Week,monkeypox,mpox,country
2022-11-06,0,0,Hungary
2022-11-13,0,0,Hungary
2022-11-20,0,0,Hungary
2022-11-27,0,0,Hungary
2022-12-04,0,0,Hungary
2022-12-11,70,44,Hungary
2022-12-18,0,0,Hungary
2022-12-25,0,35,Hungary
2023-01-01,0,0,Hungary
2023-01-08,0,0,Hungary
2023-01-15,62,0,Hungary
2023-01-22,0,0,Hungary
2023-01-29,53,0,Hungary
2023-02-05,0,31,Hungary
2023-02-12,0,0,Hungary
2023-02-19,34,0,Hungary
2023-02-26,0,0,Hungary
2023-03-05,27,0,Hungary
2023-03-12,0,94,Hungary
2023-03-19,38,0,Hungary
2023-03-26,0,0,Hungary
2023-04-02,0,0,Hungary
2023-04-09,63,0,Hungary
2023-04-16,54,0,Hungary
2023-04-23,0,0,Hungary
2023-04-30,0,0,Hungary
2023-05-07,0,0,Hungary
2023-05-14,0,0,Hungary
2023-05-21,100,0,Hungary
2023-05-28,0,0,Hungary
2023-06-04,43,0,Hungary
2023-06-11,0,0,Hungary
2023-06-18,0,0,Hungary
2023-06-25,28,0,Hungary
2023-07-02,0,0,Hungary
2023-07-09,0,0,Hungary
2023-07-16,0,0,Hungary
2023-07-23,84,0,Hungary
2023-07-30,0,0,Hungary
2023-08-06,0,0,Hungary
2023-08-13,64,0,Hungary
2023-08-20,0,0,Hungary
2023-08-27,41,0,Hungary
2023-09-03,0,0,Hungary
2023-09-10,0,0,Hungary
2023-09-17,29,0,Hungary
2023-09-24,0,0,Hungary
2023-10-01,0,0,Hungary
2023-10-08,0,0,Hungary
2023-10-15,29,0,Hungary
2023-10-22,0,0,Hungary
2023-10-29,0,0,Hungary
2023-11-05,43,53,Hungary
2023-11-12,0,39,Hungary
2023-11-19,0,0,Hungary
2023-11-26,0,0,Hungary
