Week,monkeypox,mpox,country
2022-11-06,100,2,India
2022-11-13,71,0,India
2022-11-20,64,7,India
2022-11-27,71,3,India
2022-12-04,50,2,India
2022-12-11,61,0,India
2022-12-18,59,4,India
2022-12-25,57,3,India
2023-01-01,45,3,India
2023-01-08,33,3,India
2023-01-15,37,3,India
2023-01-22,41,3,India
2023-01-29,30,1,India
2023-02-05,32,1,India
2023-02-12,24,2,India
2023-02-19,27,5,India
2023-02-26,25,0,India
2023-03-05,20,2,India
2023-03-12,26,0,India
2023-03-19,23,0,India
2023-03-26,16,0,India
2023-04-02,17,2,India
2023-04-09,16,0,India
2023-04-16,26,0,India
2023-04-23,29,0,India
2023-04-30,18,0,India
2023-05-07,23,10,India
2023-05-14,19,5,India
2023-05-21,21,3,India
2023-05-28,15,0,India
2023-06-04,20,3,India
2023-06-11,16,1,India
2023-06-18,42,0,India
2023-06-25,17,5,India
2023-07-02,21,7,India
2023-07-09,19,2,India
2023-07-16,21,1,India
2023-07-23,13,3,India
2023-07-30,15,4,India
2023-08-06,22,4,India
2023-08-13,23,3,India
2023-08-20,22,2,India
2023-08-27,17,2,India
2023-09-03,11,0,India
2023-09-10,15,1,India
2023-09-17,13,1,India
2023-09-24,14,2,India
2023-10-01,17,0,India
2023-10-08,14,2,India
2023-10-15,11,2,India
2023-10-22,14,2,India
2023-10-29,18,3,India
2023-11-05,17,0,India
2023-11-12,10,5,India
2023-11-19,12,7,India
2023-11-26,14,2,India
