Week,monkeypox,mpox,country
2022-11-06,11,1,Indonesia
2022-11-13,8,0,Indonesia
2022-11-20,7,0,Indonesia
2022-11-27,6,1,Indonesia
2022-12-04,4,0,Indonesia
2022-12-11,3,2,Indonesia
2022-12-18,4,0,Indonesia
2022-12-25,3,0,Indonesia
2023-01-01,3,0,Indonesia
2023-01-08,3,0,Indonesia
2023-01-15,3,0,Indonesia
2023-01-22,1,1,Indonesia
2023-01-29,3,1,Indonesia
2023-02-05,4,0,Indonesia
2023-02-12,4,1,Indonesia
2023-02-19,4,2,Indonesia
2023-02-26,2,0,Indonesia
2023-03-05,4,0,Indonesia
2023-03-12,2,1,Indonesia
2023-03-19,0,0,Indonesia
2023-03-26,3,0,Indonesia
2023-04-02,1,0,Indonesia
2023-04-09,1,0,Indonesia
2023-04-16,1,0,Indonesia
2023-04-23,3,5,Indonesia
2023-04-30,2,0,Indonesia
2023-05-07,1,2,Indonesia
2023-05-14,2,0,Indonesia
2023-05-21,1,0,Indonesia
2023-05-28,0,1,Indonesia
2023-06-04,3,1,Indonesia
2023-06-11,2,0,Indonesia
2023-06-18,2,4,Indonesia
2023-06-25,3,0,Indonesia
2023-07-02,2,0,Indonesia
2023-07-09,0,2,Indonesia
2023-07-16,1,0,Indonesia
2023-07-23,4,1,Indonesia
2023-07-30,3,0,Indonesia
2023-08-06,4,0,Indonesia
2023-08-13,1,0,Indonesia
2023-08-20,5,0,Indonesia
2023-08-27,2,0,Indonesia
2023-09-03,3,0,Indonesia
2023-09-10,4,0,Indonesia
2023-09-17,3,1,Indonesia
2023-09-24,3,0,Indonesia
2023-10-01,0,0,Indonesia
2023-10-08,1,0,Indonesia
2023-10-15,17,26,Indonesia
2023-10-22,100,33,Indonesia
2023-10-29,100,30,Indonesia
2023-11-05,54,11,Indonesia
2023-11-12,38,15,Indonesia
2023-11-19,24,20,Indonesia
2023-11-26,15,9,Indonesia
