Week,monkeypox,mpox,country
2022-11-06,54,0,Ireland
2022-11-13,60,0,Ireland
2022-11-20,100,0,Ireland
2022-11-27,55,0,Ireland
2022-12-04,48,0,Ireland
2022-12-11,41,0,Ireland
2022-12-18,56,10,Ireland
2022-12-25,40,0,Ireland
2023-01-01,36,8,Ireland
2023-01-08,26,0,Ireland
2023-01-15,19,6,Ireland
2023-01-22,29,0,Ireland
2023-01-29,8,6,Ireland
2023-02-05,22,0,Ireland
2023-02-12,43,0,Ireland
2023-02-19,23,0,Ireland
2023-02-26,6,0,Ireland
2023-03-05,18,11,Ireland
2023-03-12,0,0,Ireland
2023-03-19,12,10,Ireland
2023-03-26,28,0,Ireland
2023-04-02,15,0,Ireland
2023-04-09,12,0,Ireland
2023-04-16,0,0,Ireland
2023-04-23,23,12,Ireland
2023-04-30,13,0,Ireland
2023-05-07,18,0,Ireland
2023-05-14,15,0,Ireland
2023-05-21,0,0,Ireland
2023-05-28,0,0,Ireland
2023-06-04,14,0,Ireland
2023-06-11,9,0,Ireland
2023-06-18,22,0,Ireland
2023-06-25,0,0,Ireland
2023-07-02,0,0,Ireland
2023-07-09,15,0,Ireland
2023-07-16,0,0,Ireland
2023-07-23,0,0,Ireland
2023-07-30,0,0,Ireland
2023-08-06,0,0,Ireland
2023-08-13,33,8,Ireland
2023-08-20,15,0,Ireland
2023-08-27,0,0,Ireland
2023-09-03,0,12,Ireland
2023-09-10,16,0,Ireland
2023-09-17,0,15,Ireland
2023-09-24,0,14,Ireland
2023-10-01,0,0,Ireland
2023-10-08,0,0,Ireland
2023-10-15,0,7,Ireland
2023-10-22,0,0,Ireland
2023-10-29,14,0,Ireland
2023-11-05,0,0,Ireland
2023-11-12,0,0,Ireland
2023-11-19,14,0,Ireland
2023-11-26,9,9,Ireland
