Week,monkeypox,mpox,country
2022-11-06,56,0,Israel
2022-11-13,60,0,Israel
2022-11-20,0,0,Israel
2022-11-27,100,0,Israel
2022-12-04,71,0,Israel
2022-12-11,53,0,Israel
2022-12-18,0,0,Israel
2022-12-25,38,0,Israel
2023-01-01,0,0,Israel
2023-01-08,0,0,Israel
2023-01-15,45,0,Israel
2023-01-22,0,0,Israel
2023-01-29,59,0,Israel
2023-02-05,30,0,Israel
2023-02-12,51,0,Israel
2023-02-19,30,0,Israel
2023-02-26,0,0,Israel
2023-03-05,0,0,Israel
2023-03-12,0,0,Israel
2023-03-19,0,0,Israel
2023-03-26,0,0,Israel
2023-04-02,0,0,Israel
2023-04-09,76,0,Israel
2023-04-16,0,0,Israel
2023-04-23,0,0,Israel
2023-04-30,85,0,Israel
2023-05-07,0,0,Israel
2023-05-14,0,0,Israel
2023-05-21,0,0,Israel
2023-05-28,0,0,Israel
2023-06-04,0,0,Israel
2023-06-11,0,0,Israel
2023-06-18,59,0,Israel
2023-06-25,0,0,Israel
2023-07-02,0,0,Israel
2023-07-09,0,0,Israel
2023-07-16,0,0,Israel
2023-07-23,37,0,Israel
2023-07-30,45,0,Israel
2023-08-06,42,0,Israel
2023-08-13,0,0,Israel
2023-08-20,47,0,Israel
2023-08-27,69,0,Israel
2023-09-03,0,0,Israel
2023-09-10,0,0,Israel
2023-09-17,34,0,Israel
2023-09-24,0,0,Israel
2023-10-01,32,0,Israel
2023-10-08,0,0,Israel
2023-10-15,0,0,Israel
2023-10-22,0,0,Israel
2023-10-29,29,0,Israel
2023-11-05,0,0,Israel
2023-11-12,33,0,Israel
2023-11-19,98,0,Israel
2023-11-26,0,0,Israel
