Week,monkeypox,mpox,country
2022-11-06,67,0,Italy
2022-11-13,100,0,Italy
2022-11-20,68,0,Italy
2022-11-27,43,0,Italy
2022-12-04,43,43,Italy
2022-12-11,0,0,Italy
2022-12-18,13,0,Italy
2022-12-25,23,0,Italy
2023-01-01,30,29,Italy
2023-01-08,29,0,Italy
2023-01-15,19,0,Italy
2023-01-22,27,0,Italy
2023-01-29,43,0,Italy
2023-02-05,0,0,Italy
2023-02-12,43,0,Italy
2023-02-19,38,13,Italy
2023-02-26,41,13,Italy
2023-03-05,30,30,Italy
2023-03-12,45,21,Italy
2023-03-19,0,0,Italy
2023-03-26,21,15,Italy
2023-04-02,0,0,Italy
2023-04-09,19,15,Italy
2023-04-16,29,22,Italy
2023-04-23,31,0,Italy
2023-04-30,36,18,Italy
2023-05-07,14,33,Italy
2023-05-14,70,12,Italy
2023-05-21,0,0,Italy
2023-05-28,46,19,Italy
2023-06-04,33,0,Italy
2023-06-11,15,0,Italy
2023-06-18,0,14,Italy
2023-06-25,0,0,Italy
2023-07-02,28,0,Italy
2023-07-09,16,0,Italy
2023-07-16,0,16,Italy
2023-07-23,34,0,Italy
2023-07-30,0,0,Italy
2023-08-06,18,15,Italy
2023-08-13,0,0,Italy
2023-08-20,34,37,Italy
2023-08-27,14,0,Italy
2023-09-03,44,43,Italy
2023-09-10,20,0,Italy
2023-09-17,12,0,Italy
2023-09-24,30,21,Italy
2023-10-01,0,0,Italy
2023-10-08,0,0,Italy
2023-10-15,43,0,Italy
2023-10-22,0,14,Italy
2023-10-29,0,0,Italy
2023-11-05,52,21,Italy
2023-11-12,29,0,Italy
2023-11-19,25,0,Italy
2023-11-26,0,0,Italy
