Week,monkeypox,mpox,country
2022-11-06,100,0,Jamaica
2022-11-13,81,0,Jamaica
2022-11-20,0,0,Jamaica
2022-11-27,57,33,Jamaica
2022-12-04,72,23,Jamaica
2022-12-11,0,0,Jamaica
2022-12-18,43,0,Jamaica
2022-12-25,0,0,Jamaica
2023-01-01,33,22,Jamaica
2023-01-08,0,0,Jamaica
2023-01-15,0,0,Jamaica
2023-01-22,0,33,Jamaica
2023-01-29,0,0,Jamaica
2023-02-05,32,0,Jamaica
2023-02-12,57,0,Jamaica
2023-02-19,22,0,Jamaica
2023-02-26,0,0,Jamaica
2023-03-05,0,0,Jamaica
2023-03-12,41,24,Jamaica
2023-03-19,0,0,Jamaica
2023-03-26,30,78,Jamaica
2023-04-02,36,0,Jamaica
2023-04-09,31,0,Jamaica
2023-04-16,71,0,Jamaica
2023-04-23,0,24,Jamaica
2023-04-30,32,0,Jamaica
2023-05-07,0,0,Jamaica
2023-05-14,0,0,Jamaica
2023-05-21,0,0,Jamaica
2023-05-28,0,0,Jamaica
2023-06-04,27,0,Jamaica
2023-06-11,58,29,Jamaica
2023-06-18,0,0,Jamaica
2023-06-25,0,0,Jamaica
2023-07-02,0,0,Jamaica
2023-07-09,35,0,Jamaica
2023-07-16,31,0,Jamaica
2023-07-23,0,0,Jamaica
2023-07-30,0,0,Jamaica
2023-08-06,0,0,Jamaica
2023-08-13,0,0,Jamaica
2023-08-20,0,0,Jamaica
2023-08-27,0,0,Jamaica
2023-09-03,81,30,Jamaica
2023-09-10,0,0,Jamaica
2023-09-17,46,0,Jamaica
2023-09-24,25,0,Jamaica
2023-10-01,0,0,Jamaica
2023-10-08,0,0,Jamaica
2023-10-15,0,0,Jamaica
2023-10-22,0,0,Jamaica
2023-10-29,0,35,Jamaica
2023-11-05,74,0,Jamaica
2023-11-12,0,28,Jamaica
2023-11-19,0,61,Jamaica
2023-11-26,0,0,Jamaica
