Week,monkeypox,mpox,country
2022-11-06,56,37,Japan
2022-11-13,0,0,Japan
2022-11-20,33,0,Japan
2022-11-27,30,58,Japan
2022-12-04,41,0,Japan
2022-12-11,16,0,Japan
2022-12-18,0,15,Japan
2022-12-25,0,15,Japan
2023-01-01,0,21,Japan
2023-01-08,14,20,Japan
2023-01-15,26,0,Japan
2023-01-22,43,0,Japan
2023-01-29,0,100,Japan
2023-02-05,23,0,Japan
2023-02-12,16,0,Japan
2023-02-19,0,0,Japan
2023-02-26,20,0,Japan
2023-03-05,20,0,Japan
2023-03-12,16,0,Japan
2023-03-19,23,30,Japan
2023-03-26,15,0,Japan
2023-04-02,19,61,Japan
2023-04-09,20,0,Japan
2023-04-16,38,34,Japan
2023-04-23,16,18,Japan
2023-04-30,0,0,Japan
2023-05-07,11,30,Japan
2023-05-14,0,31,Japan
2023-05-21,16,30,Japan
2023-05-28,13,37,Japan
2023-06-04,15,16,Japan
2023-06-11,0,32,Japan
2023-06-18,48,21,Japan
2023-06-25,0,0,Japan
2023-07-02,0,54,Japan
2023-07-09,24,0,Japan
2023-07-16,44,0,Japan
2023-07-23,21,21,Japan
2023-07-30,0,0,Japan
2023-08-06,17,25,Japan
2023-08-13,0,0,Japan
2023-08-20,0,0,Japan
2023-08-27,30,0,Japan
2023-09-03,13,22,Japan
2023-09-10,15,34,Japan
2023-09-17,25,0,Japan
2023-09-24,0,13,Japan
2023-10-01,0,0,Japan
2023-10-08,14,0,Japan
2023-10-15,15,0,Japan
2023-10-22,22,20,Japan
2023-10-29,0,20,Japan
2023-11-05,0,17,Japan
2023-11-12,28,30,Japan
2023-11-19,0,0,Japan
2023-11-26,0,0,Japan
