Week,monkeypox,mpox,country
2022-11-06,0,0,Kenya
2022-11-13,49,0,Kenya
2022-11-20,32,0,Kenya
2022-11-27,44,0,Kenya
2022-12-04,100,0,Kenya
2022-12-11,0,0,Kenya
2022-12-18,56,0,Kenya
2022-12-25,0,0,Kenya
2023-01-01,57,0,Kenya
2023-01-08,0,0,Kenya
2023-01-15,0,35,Kenya
2023-01-22,25,0,Kenya
2023-01-29,0,47,Kenya
2023-02-05,0,0,Kenya
2023-02-12,0,0,Kenya
2023-02-19,0,0,Kenya
2023-02-26,35,52,Kenya
2023-03-05,27,23,Kenya
2023-03-12,0,0,Kenya
2023-03-19,35,66,Kenya
2023-03-26,26,0,Kenya
2023-04-02,0,0,Kenya
2023-04-09,0,0,Kenya
2023-04-16,0,21,Kenya
2023-04-23,0,0,Kenya
2023-04-30,76,27,Kenya
2023-05-07,0,0,Kenya
2023-05-14,0,0,Kenya
2023-05-21,0,65,Kenya
2023-05-28,0,0,Kenya
2023-06-04,0,0,Kenya
2023-06-11,0,0,Kenya
2023-06-18,0,33,Kenya
2023-06-25,0,43,Kenya
2023-07-02,0,0,Kenya
2023-07-09,0,0,Kenya
2023-07-16,0,42,Kenya
2023-07-23,0,0,Kenya
2023-07-30,0,0,Kenya
2023-08-06,0,25,Kenya
2023-08-13,37,24,Kenya
2023-08-20,0,0,Kenya
2023-08-27,33,0,Kenya
2023-09-03,0,65,Kenya
2023-09-10,28,81,Kenya
2023-09-17,39,0,Kenya
2023-09-24,29,0,Kenya
2023-10-01,0,0,Kenya
2023-10-08,0,0,Kenya
2023-10-15,38,32,Kenya
2023-10-22,30,0,Kenya
2023-10-29,88,39,Kenya
2023-11-05,0,0,Kenya
2023-11-12,0,35,Kenya
2023-11-19,0,0,Kenya
2023-11-26,0,23,Kenya
