Week,monkeypox,mpox,country
2022-11-06,41,17,Malaysia
2022-11-13,24,0,Malaysia
2022-11-20,19,0,Malaysia
2022-11-27,33,5,Malaysia
2022-12-04,27,0,Malaysia
2022-12-11,15,0,Malaysia
2022-12-18,13,6,Malaysia
2022-12-25,18,0,Malaysia
2023-01-01,11,0,Malaysia
2023-01-08,23,0,Malaysia
2023-01-15,18,0,Malaysia
2023-01-22,25,10,Malaysia
2023-01-29,10,13,Malaysia
2023-02-05,18,0,Malaysia
2023-02-12,13,0,Malaysia
2023-02-19,7,11,Malaysia
2023-02-26,0,0,Malaysia
2023-03-05,29,0,Malaysia
2023-03-12,14,5,Malaysia
2023-03-19,8,13,Malaysia
2023-03-26,14,0,Malaysia
2023-04-02,29,18,Malaysia
2023-04-09,19,0,Malaysia
2023-04-16,6,0,Malaysia
2023-04-23,10,0,Malaysia
2023-04-30,19,6,Malaysia
2023-05-07,5,0,Malaysia
2023-05-14,11,23,Malaysia
2023-05-21,0,0,Malaysia
2023-05-28,8,6,Malaysia
2023-06-04,10,0,Malaysia
2023-06-11,0,0,Malaysia
2023-06-18,14,0,Malaysia
2023-06-25,13,0,Malaysia
2023-07-02,0,0,Malaysia
2023-07-09,9,0,Malaysia
2023-07-16,10,6,Malaysia
2023-07-23,15,0,Malaysia
2023-07-30,9,11,Malaysia
2023-08-06,18,0,Malaysia
2023-08-13,26,0,Malaysia
2023-08-20,100,12,Malaysia
2023-08-27,45,7,Malaysia
2023-09-03,28,5,Malaysia
2023-09-10,33,0,Malaysia
2023-09-17,11,0,Malaysia
2023-09-24,22,8,Malaysia
2023-10-01,10,5,Malaysia
2023-10-08,0,0,Malaysia
2023-10-15,15,10,Malaysia
2023-10-22,17,0,Malaysia
2023-10-29,47,23,Malaysia
2023-11-05,15,14,Malaysia
2023-11-12,7,0,Malaysia
2023-11-19,0,9,Malaysia
2023-11-26,64,27,Malaysia
