Week,monkeypox,mpox,country
2022-11-06,8,0,Mexico
2022-11-13,5,0,Mexico
2022-11-20,5,0,Mexico
2022-11-27,3,3,Mexico
2022-12-04,5,1,Mexico
2022-12-11,1,7,Mexico
2022-12-18,4,0,Mexico
2022-12-25,4,0,Mexico
2023-01-01,2,1,Mexico
2023-01-08,2,3,Mexico
2023-01-15,3,5,Mexico
2023-01-22,4,2,Mexico
2023-01-29,4,2,Mexico
2023-02-05,3,26,Mexico
2023-02-12,3,12,Mexico
2023-02-19,2,7,Mexico
2023-02-26,2,5,Mexico
2023-03-05,3,71,Mexico
2023-03-12,0,9,Mexico
2023-03-19,1,2,Mexico
2023-03-26,0,2,Mexico
2023-04-02,1,100,Mexico
2023-04-09,3,19,Mexico
2023-04-16,0,28,Mexico
2023-04-23,1,7,Mexico
2023-04-30,4,7,Mexico
2023-05-07,1,9,Mexico
2023-05-14,1,8,Mexico
2023-05-21,2,9,Mexico
2023-05-28,1,5,Mexico
2023-06-04,0,0,Mexico
2023-06-11,1,2,Mexico
2023-06-18,0,4,Mexico
2023-06-25,0,3,Mexico
2023-07-02,0,2,Mexico
2023-07-09,1,2,Mexico
2023-07-16,0,3,Mexico
2023-07-23,1,2,Mexico
2023-07-30,0,2,Mexico
2023-08-06,2,2,Mexico
2023-08-13,1,1,Mexico
2023-08-20,2,2,Mexico
2023-08-27,0,0,Mexico
2023-09-03,2,2,Mexico
2023-09-10,1,1,Mexico
2023-09-17,1,0,Mexico
2023-09-24,2,1,Mexico
2023-10-01,0,1,Mexico
2023-10-08,0,0,Mexico
2023-10-15,1,0,Mexico
2023-10-22,0,0,Mexico
2023-10-29,1,0,Mexico
2023-11-05,1,2,Mexico
2023-11-12,1,0,Mexico
2023-11-19,0,0,Mexico
2023-11-26,2,0,Mexico
