Week,monkeypox,mpox,country
2022-11-06,0,0,Morocco
2022-11-13,68,0,Morocco
2022-11-20,25,0,Morocco
2022-11-27,0,0,Morocco
2022-12-04,0,0,Morocco
2022-12-11,30,0,Morocco
2022-12-18,0,0,Morocco
2022-12-25,0,0,Morocco
2023-01-01,52,0,Morocco
2023-01-08,0,0,Morocco
2023-01-15,0,0,Morocco
2023-01-22,0,0,Morocco
2023-01-29,0,0,Morocco
2023-02-05,0,0,Morocco
2023-02-12,25,0,Morocco
2023-02-19,28,0,Morocco
2023-02-26,26,0,Morocco
2023-03-05,0,0,Morocco
2023-03-12,25,0,Morocco
2023-03-19,0,0,Morocco
2023-03-26,34,0,Morocco
2023-04-02,0,0,Morocco
2023-04-09,28,0,Morocco
2023-04-16,0,0,Morocco
2023-04-23,0,0,Morocco
2023-04-30,0,0,Morocco
2023-05-07,0,0,Morocco
2023-05-14,44,0,Morocco
2023-05-21,0,0,Morocco
2023-05-28,0,0,Morocco
2023-06-04,33,0,Morocco
2023-06-11,0,0,Morocco
2023-06-18,31,0,Morocco
2023-06-25,0,0,Morocco
2023-07-02,80,0,Morocco
2023-07-09,100,0,Morocco
2023-07-16,0,0,Morocco
2023-07-23,0,0,Morocco
2023-07-30,0,0,Morocco
2023-08-06,0,0,Morocco
2023-08-13,0,0,Morocco
2023-08-20,0,0,Morocco
2023-08-27,0,0,Morocco
2023-09-03,0,0,Morocco
2023-09-10,0,0,Morocco
2023-09-17,0,0,Morocco
2023-09-24,65,0,Morocco
2023-10-01,0,0,Morocco
2023-10-08,48,0,Morocco
2023-10-15,35,0,Morocco
2023-10-22,0,0,Morocco
2023-10-29,0,0,Morocco
2023-11-05,0,0,Morocco
2023-11-12,0,0,Morocco
2023-11-19,0,0,Morocco
2023-11-26,0,0,Morocco
