Week,monkeypox,mpox,country
2022-11-06,0,4,Nepal
2022-11-13,0,6,Nepal
2022-11-20,2,0,Nepal
2022-11-27,0,0,Nepal
2022-12-04,0,0,Nepal
2022-12-11,7,0,Nepal
2022-12-18,4,0,Nepal
2022-12-25,0,0,Nepal
2023-01-01,9,0,Nepal
2023-01-08,0,0,Nepal
2023-01-15,4,0,Nepal
2023-01-22,0,0,Nepal
2023-01-29,7,0,Nepal
2023-02-05,3,0,Nepal
2023-02-12,0,0,Nepal
2023-02-19,0,0,Nepal
2023-02-26,3,0,Nepal
2023-03-05,4,4,Nepal
2023-03-12,0,3,Nepal
2023-03-19,3,0,Nepal
2023-03-26,4,3,Nepal
2023-04-02,0,0,Nepal
2023-04-09,4,0,Nepal
2023-04-16,0,0,Nepal
2023-04-23,0,4,Nepal
2023-04-30,0,0,Nepal
2023-05-07,0,6,Nepal
2023-05-14,0,0,Nepal
2023-05-21,5,0,Nepal
2023-05-28,0,0,Nepal
2023-06-04,0,0,Nepal
2023-06-11,88,24,Nepal
2023-06-18,100,8,Nepal
2023-06-25,35,4,Nepal
2023-07-02,9,8,Nepal
2023-07-09,11,0,Nepal
2023-07-16,23,0,Nepal
2023-07-23,0,0,Nepal
2023-07-30,4,0,Nepal
2023-08-06,6,0,Nepal
2023-08-13,0,0,Nepal
2023-08-20,7,0,Nepal
2023-08-27,0,0,Nepal
2023-09-03,3,0,Nepal
2023-09-10,0,0,Nepal
2023-09-17,0,0,Nepal
2023-09-24,0,0,Nepal
2023-10-01,6,4,Nepal
2023-10-08,0,0,Nepal
2023-10-15,0,0,Nepal
2023-10-22,9,0,Nepal
2023-10-29,0,0,Nepal
2023-11-05,10,0,Nepal
2023-11-12,0,0,Nepal
2023-11-19,0,6,Nepal
2023-11-26,0,3,Nepal
