Week,monkeypox,mpox,country
2022-11-06,67,0,Netherlands
2022-11-13,58,0,Netherlands
2022-11-20,51,0,Netherlands
2022-11-27,36,33,Netherlands
2022-12-04,33,0,Netherlands
2022-12-11,40,0,Netherlands
2022-12-18,24,100,Netherlands
2022-12-25,0,0,Netherlands
2023-01-01,0,0,Netherlands
2023-01-08,42,17,Netherlands
2023-01-15,0,19,Netherlands
2023-01-22,0,0,Netherlands
2023-01-29,23,17,Netherlands
2023-02-05,30,0,Netherlands
2023-02-12,93,57,Netherlands
2023-02-19,38,0,Netherlands
2023-02-26,0,21,Netherlands
2023-03-05,44,30,Netherlands
2023-03-12,0,0,Netherlands
2023-03-19,21,0,Netherlands
2023-03-26,0,0,Netherlands
2023-04-02,20,0,Netherlands
2023-04-09,0,0,Netherlands
2023-04-16,19,17,Netherlands
2023-04-23,0,0,Netherlands
2023-04-30,0,0,Netherlands
2023-05-07,22,16,Netherlands
2023-05-14,71,31,Netherlands
2023-05-21,34,49,Netherlands
2023-05-28,51,25,Netherlands
2023-06-04,0,26,Netherlands
2023-06-11,17,0,Netherlands
2023-06-18,40,19,Netherlands
2023-06-25,0,15,Netherlands
2023-07-02,23,38,Netherlands
2023-07-09,33,18,Netherlands
2023-07-16,40,0,Netherlands
2023-07-23,0,23,Netherlands
2023-07-30,0,30,Netherlands
2023-08-06,0,45,Netherlands
2023-08-13,45,60,Netherlands
2023-08-20,32,33,Netherlands
2023-08-27,0,0,Netherlands
2023-09-03,30,0,Netherlands
2023-09-10,0,0,Netherlands
2023-09-17,27,18,Netherlands
2023-09-24,0,33,Netherlands
2023-10-01,19,0,Netherlands
2023-10-08,0,0,Netherlands
2023-10-15,70,0,Netherlands
2023-10-22,0,54,Netherlands
2023-10-29,0,0,Netherlands
2023-11-05,15,0,Netherlands
2023-11-12,17,18,Netherlands
2023-11-19,18,0,Netherlands
2023-11-26,50,35,Netherlands
