Week,monkeypox,mpox,country
2022-11-06,100,0,New Zealand
2022-11-13,54,0,New Zealand
2022-11-20,46,13,New Zealand
2022-11-27,44,0,New Zealand
2022-12-04,24,12,New Zealand
2022-12-11,37,8,New Zealand
2022-12-18,36,0,New Zealand
2022-12-25,13,0,New Zealand
2023-01-01,50,0,New Zealand
2023-01-08,76,0,New Zealand
2023-01-15,45,42,New Zealand
2023-01-22,40,9,New Zealand
2023-01-29,22,0,New Zealand
2023-02-05,18,0,New Zealand
2023-02-12,57,13,New Zealand
2023-02-19,0,11,New Zealand
2023-02-26,20,0,New Zealand
2023-03-05,16,10,New Zealand
2023-03-12,0,18,New Zealand
2023-03-19,0,0,New Zealand
2023-03-26,0,13,New Zealand
2023-04-02,16,0,New Zealand
2023-04-09,0,16,New Zealand
2023-04-16,0,0,New Zealand
2023-04-23,28,0,New Zealand
2023-04-30,0,0,New Zealand
2023-05-07,31,0,New Zealand
2023-05-14,18,0,New Zealand
2023-05-21,0,0,New Zealand
2023-05-28,0,0,New Zealand
2023-06-04,15,0,New Zealand
2023-06-11,16,0,New Zealand
2023-06-18,0,0,New Zealand
2023-06-25,0,14,New Zealand
2023-07-02,18,0,New Zealand
2023-07-09,20,23,New Zealand
2023-07-16,0,0,New Zealand
2023-07-23,16,0,New Zealand
2023-07-30,0,33,New Zealand
2023-08-06,14,17,New Zealand
2023-08-13,14,34,New Zealand
2023-08-20,29,0,New Zealand
2023-08-27,0,0,New Zealand
2023-09-03,0,0,New Zealand
2023-09-10,0,30,New Zealand
2023-09-17,0,0,New Zealand
2023-09-24,0,0,New Zealand
2023-10-01,34,14,New Zealand
2023-10-08,17,0,New Zealand
2023-10-15,11,0,New Zealand
2023-10-22,0,15,New Zealand
2023-10-29,14,0,New Zealand
2023-11-05,0,0,New Zealand
2023-11-12,0,10,New Zealand
2023-11-19,0,0,New Zealand
2023-11-26,13,0,New Zealand
