Week,monkeypox,mpox,country
2022-11-06,0,0,Nigeria
2022-11-13,0,0,Nigeria
2022-11-20,0,0,Nigeria
2022-11-27,0,0,Nigeria
2022-12-04,0,0,Nigeria
2022-12-11,0,0,Nigeria
2022-12-18,78,35,Nigeria
2022-12-25,49,35,Nigeria
2023-01-01,54,14,Nigeria
2023-01-08,98,0,Nigeria
2023-01-15,82,0,Nigeria
2023-01-22,100,0,Nigeria
2023-01-29,63,0,Nigeria
2023-02-05,49,32,Nigeria
2023-02-12,52,0,Nigeria
2023-02-19,0,0,Nigeria
2023-02-26,34,0,Nigeria
2023-03-05,0,0,Nigeria
2023-03-12,57,15,Nigeria
2023-03-19,42,0,Nigeria
2023-03-26,69,0,Nigeria
2023-04-02,34,22,Nigeria
2023-04-09,58,90,Nigeria
2023-04-16,13,32,Nigeria
2023-04-23,42,0,Nigeria
2023-04-30,28,0,Nigeria
2023-05-07,0,0,Nigeria
2023-05-14,26,0,Nigeria
2023-05-21,25,0,Nigeria
2023-05-28,40,19,Nigeria
2023-06-04,29,38,Nigeria
2023-06-11,39,0,Nigeria
2023-06-18,31,0,Nigeria
2023-06-25,0,12,Nigeria
2023-07-02,26,0,Nigeria
2023-07-09,52,0,Nigeria
2023-07-16,17,0,Nigeria
2023-07-23,17,0,Nigeria
2023-07-30,16,0,Nigeria
2023-08-06,26,0,Nigeria
2023-08-13,35,0,Nigeria
2023-08-20,34,29,Nigeria
2023-08-27,29,0,Nigeria
2023-09-03,17,11,Nigeria
2023-09-10,18,0,Nigeria
2023-09-17,46,0,Nigeria
2023-09-24,28,0,Nigeria
2023-10-01,13,20,Nigeria
2023-10-08,0,0,Nigeria
2023-10-15,18,0,Nigeria
2023-10-22,15,0,Nigeria
2023-10-29,0,19,Nigeria
2023-11-05,21,0,Nigeria
2023-11-12,25,0,Nigeria
2023-11-19,0,0,Nigeria
2023-11-26,22,0,Nigeria
