Week,monkeypox,mpox,country
2022-11-06,54,0,Norway
2022-11-13,20,0,Norway
2022-11-20,31,0,Norway
2022-11-27,0,0,Norway
2022-12-04,0,0,Norway
2022-12-11,0,0,Norway
2022-12-18,0,0,Norway
2022-12-25,65,0,Norway
2023-01-01,0,0,Norway
2023-01-08,0,0,Norway
2023-01-15,0,0,Norway
2023-01-22,24,0,Norway
2023-01-29,68,0,Norway
2023-02-05,0,0,Norway
2023-02-12,0,0,Norway
2023-02-19,0,37,Norway
2023-02-26,0,0,Norway
2023-03-05,0,0,Norway
2023-03-12,0,0,Norway
2023-03-19,0,0,Norway
2023-03-26,48,0,Norway
2023-04-02,0,0,Norway
2023-04-09,49,0,Norway
2023-04-16,0,0,Norway
2023-04-23,0,48,Norway
2023-04-30,0,0,Norway
2023-05-07,0,0,Norway
2023-05-14,0,22,Norway
2023-05-21,0,27,Norway
2023-05-28,0,0,Norway
2023-06-04,0,0,Norway
2023-06-11,0,0,Norway
2023-06-18,0,0,Norway
2023-06-25,36,0,Norway
2023-07-02,0,0,Norway
2023-07-09,0,0,Norway
2023-07-16,0,0,Norway
2023-07-23,36,0,Norway
2023-07-30,0,0,Norway
2023-08-06,0,0,Norway
2023-08-13,0,100,Norway
2023-08-20,19,0,Norway
2023-08-27,0,0,Norway
2023-09-03,0,28,Norway
2023-09-10,0,0,Norway
2023-09-17,0,25,Norway
2023-09-24,22,0,Norway
2023-10-01,0,0,Norway
2023-10-08,0,0,Norway
2023-10-15,0,0,Norway
2023-10-22,0,0,Norway
2023-10-29,20,0,Norway
2023-11-05,0,0,Norway
2023-11-12,28,40,Norway
2023-11-19,0,19,Norway
2023-11-26,0,0,Norway
