Week,monkeypox,mpox,country
2022-11-06,0,0,Pakistan
2022-11-13,0,0,Pakistan
2022-11-20,0,0,Pakistan
2022-11-27,0,0,Pakistan
2022-12-04,0,0,Pakistan
2022-12-11,<1,0,Pakistan
2022-12-18,<1,0,Pakistan
2022-12-25,<1,0,Pakistan
2023-01-01,0,0,Pakistan
2023-01-08,1,0,Pakistan
2023-01-15,1,0,Pakistan
2023-01-22,<1,0,Pakistan
2023-01-29,<1,0,Pakistan
2023-02-05,1,0,Pakistan
2023-02-12,1,<1,Pakistan
2023-02-19,0,<1,Pakistan
2023-02-26,1,0,Pakistan
2023-03-05,<1,<1,Pakistan
2023-03-12,0,0,Pakistan
2023-03-19,0,0,Pakistan
2023-03-26,1,0,Pakistan
2023-04-02,1,0,Pakistan
2023-04-09,<1,<1,Pakistan
2023-04-16,0,0,Pakistan
2023-04-23,100,5,Pakistan
2023-04-30,31,1,Pakistan
2023-05-07,11,1,Pakistan
2023-05-14,7,0,Pakistan
2023-05-21,3,1,Pakistan
2023-05-28,3,0,Pakistan
2023-06-04,3,0,Pakistan
2023-06-11,1,0,Pakistan
2023-06-18,1,0,Pakistan
2023-06-25,1,0,Pakistan
2023-07-02,1,<1,Pakistan
2023-07-09,2,<1,Pakistan
2023-07-16,2,0,Pakistan
2023-07-23,1,0,Pakistan
2023-07-30,1,<1,Pakistan
2023-08-06,0,0,Pakistan
2023-08-13,1,<1,Pakistan
2023-08-20,1,<1,Pakistan
2023-08-27,1,0,Pakistan
2023-09-03,1,0,Pakistan
2023-09-10,1,0,Pakistan
2023-09-17,1,0,Pakistan
2023-09-24,1,0,Pakistan
2023-10-01,<1,0,Pakistan
2023-10-08,<1,<1,Pakistan
2023-10-15,<1,0,Pakistan
2023-10-22,1,0,Pakistan
2023-10-29,<1,<1,Pakistan
2023-11-05,0,0,Pakistan
2023-11-12,0,0,Pakistan
2023-11-19,<1,<1,Pakistan
2023-11-26,0,0,Pakistan
