Week,monkeypox,mpox,country
2022-11-06,20,0,Peru
2022-11-13,29,0,Peru
2022-11-20,0,0,Peru
2022-11-27,22,0,Peru
2022-12-04,29,0,Peru
2022-12-11,0,0,Peru
2022-12-18,0,22,Peru
2022-12-25,27,0,Peru
2023-01-01,0,66,Peru
2023-01-08,18,20,Peru
2023-01-15,0,0,Peru
2023-01-22,0,0,Peru
2023-01-29,30,0,Peru
2023-02-05,0,21,Peru
2023-02-12,60,0,Peru
2023-02-19,31,0,Peru
2023-02-26,0,24,Peru
2023-03-05,100,0,Peru
2023-03-12,27,37,Peru
2023-03-19,51,40,Peru
2023-03-26,41,0,Peru
2023-04-02,31,0,Peru
2023-04-09,0,0,Peru
2023-04-16,0,0,Peru
2023-04-23,17,0,Peru
2023-04-30,45,0,Peru
2023-05-07,0,0,Peru
2023-05-14,0,0,Peru
2023-05-21,0,0,Peru
2023-05-28,15,47,Peru
2023-06-04,0,0,Peru
2023-06-11,0,0,Peru
2023-06-18,0,0,Peru
2023-06-25,0,0,Peru
2023-07-02,0,0,Peru
2023-07-09,0,0,Peru
2023-07-16,0,18,Peru
2023-07-23,0,0,Peru
2023-07-30,0,0,Peru
2023-08-06,0,0,Peru
2023-08-13,0,0,Peru
2023-08-20,0,0,Peru
2023-08-27,0,0,Peru
2023-09-03,0,0,Peru
2023-09-10,71,0,Peru
2023-09-17,0,39,Peru
2023-09-24,0,0,Peru
2023-10-01,0,18,Peru
2023-10-08,0,40,Peru
2023-10-15,0,0,Peru
2023-10-22,0,26,Peru
2023-10-29,0,0,Peru
2023-11-05,30,47,Peru
2023-11-12,20,0,Peru
2023-11-19,0,0,Peru
2023-11-26,16,0,Peru
