Week,monkeypox,mpox,country
2022-11-06,100,0,Philippines
2022-11-13,57,0,Philippines
2022-11-20,81,0,Philippines
2022-11-27,76,3,Philippines
2022-12-04,61,5,Philippines
2022-12-11,47,3,Philippines
2022-12-18,50,4,Philippines
2022-12-25,53,0,Philippines
2023-01-01,46,3,Philippines
2023-01-08,25,0,Philippines
2023-01-15,34,4,Philippines
2023-01-22,35,3,Philippines
2023-01-29,24,0,Philippines
2023-02-05,23,0,Philippines
2023-02-12,27,2,Philippines
2023-02-19,34,6,Philippines
2023-02-26,23,2,Philippines
2023-03-05,19,0,Philippines
2023-03-12,18,0,Philippines
2023-03-19,33,0,Philippines
2023-03-26,25,0,Philippines
2023-04-02,16,0,Philippines
2023-04-09,8,0,Philippines
2023-04-16,21,5,Philippines
2023-04-23,17,0,Philippines
2023-04-30,19,0,Philippines
2023-05-07,19,3,Philippines
2023-05-14,22,4,Philippines
2023-05-21,23,0,Philippines
2023-05-28,15,2,Philippines
2023-06-04,14,0,Philippines
2023-06-11,13,0,Philippines
2023-06-18,8,0,Philippines
2023-06-25,14,0,Philippines
2023-07-02,13,6,Philippines
2023-07-09,13,5,Philippines
2023-07-16,8,7,Philippines
2023-07-23,8,4,Philippines
2023-07-30,7,0,Philippines
2023-08-06,4,4,Philippines
2023-08-13,25,0,Philippines
2023-08-20,10,0,Philippines
2023-08-27,9,2,Philippines
2023-09-03,3,2,Philippines
2023-09-10,17,2,Philippines
2023-09-17,8,2,Philippines
2023-09-24,12,0,Philippines
2023-10-01,10,0,Philippines
2023-10-08,8,0,Philippines
2023-10-15,16,0,Philippines
2023-10-22,12,0,Philippines
2023-10-29,7,0,Philippines
2023-11-05,10,2,Philippines
2023-11-12,15,4,Philippines
2023-11-19,11,0,Philippines
2023-11-26,3,0,Philippines
