Week,monkeypox,mpox,country
2022-11-06,48,0,Poland
2022-11-13,72,0,Poland
2022-11-20,0,30,Poland
2022-11-27,97,25,Poland
2022-12-04,78,0,Poland
2022-12-11,0,23,Poland
2022-12-18,51,36,Poland
2022-12-25,30,44,Poland
2023-01-01,42,0,Poland
2023-01-08,27,0,Poland
2023-01-15,0,0,Poland
2023-01-22,42,0,Poland
2023-01-29,0,0,Poland
2023-02-05,56,0,Poland
2023-02-12,0,0,Poland
2023-02-19,47,0,Poland
2023-02-26,0,0,Poland
2023-03-05,27,0,Poland
2023-03-12,47,73,Poland
2023-03-19,0,22,Poland
2023-03-26,0,0,Poland
2023-04-02,0,0,Poland
2023-04-09,0,70,Poland
2023-04-16,100,33,Poland
2023-04-23,0,0,Poland
2023-04-30,0,34,Poland
2023-05-07,0,0,Poland
2023-05-14,0,0,Poland
2023-05-21,33,71,Poland
2023-05-28,39,0,Poland
2023-06-04,63,0,Poland
2023-06-11,30,44,Poland
2023-06-18,0,0,Poland
2023-06-25,0,0,Poland
2023-07-02,0,0,Poland
2023-07-09,0,0,Poland
2023-07-16,0,0,Poland
2023-07-23,0,34,Poland
2023-07-30,0,0,Poland
2023-08-06,0,0,Poland
2023-08-13,44,56,Poland
2023-08-20,92,0,Poland
2023-08-27,31,24,Poland
2023-09-03,0,0,Poland
2023-09-10,32,0,Poland
2023-09-17,0,0,Poland
2023-09-24,0,0,Poland
2023-10-01,59,0,Poland
2023-10-08,0,0,Poland
2023-10-15,0,0,Poland
2023-10-22,82,0,Poland
2023-10-29,0,0,Poland
2023-11-05,0,0,Poland
2023-11-12,0,39,Poland
2023-11-19,0,93,Poland
2023-11-26,0,0,Poland
