Week,monkeypox,mpox,country
2022-11-06,23,0,Portugal
2022-11-13,6,0,Portugal
2022-11-20,14,0,Portugal
2022-11-27,19,0,Portugal
2022-12-04,6,4,Portugal
2022-12-11,7,3,Portugal
2022-12-18,8,3,Portugal
2022-12-25,6,4,Portugal
2023-01-01,6,0,Portugal
2023-01-08,11,0,Portugal
2023-01-15,0,0,Portugal
2023-01-22,0,0,Portugal
2023-01-29,6,3,Portugal
2023-02-05,9,3,Portugal
2023-02-12,6,0,Portugal
2023-02-19,8,4,Portugal
2023-02-26,10,0,Portugal
2023-03-05,3,0,Portugal
2023-03-12,7,0,Portugal
2023-03-19,6,0,Portugal
2023-03-26,10,2,Portugal
2023-04-02,3,0,Portugal
2023-04-09,9,9,Portugal
2023-04-16,6,0,Portugal
2023-04-23,3,0,Portugal
2023-04-30,10,3,Portugal
2023-05-07,11,5,Portugal
2023-05-14,3,11,Portugal
2023-05-21,9,3,Portugal
2023-05-28,7,11,Portugal
2023-06-04,3,3,Portugal
2023-06-11,0,8,Portugal
2023-06-18,8,14,Portugal
2023-06-25,6,10,Portugal
2023-07-02,9,0,Portugal
2023-07-09,5,4,Portugal
2023-07-16,62,100,Portugal
2023-07-23,27,94,Portugal
2023-07-30,13,53,Portugal
2023-08-06,4,8,Portugal
2023-08-13,5,4,Portugal
2023-08-20,5,4,Portugal
2023-08-27,7,13,Portugal
2023-09-03,7,6,Portugal
2023-09-10,0,5,Portugal
2023-09-17,15,8,Portugal
2023-09-24,4,4,Portugal
2023-10-01,6,3,Portugal
2023-10-08,7,0,Portugal
2023-10-15,6,0,Portugal
2023-10-22,7,0,Portugal
2023-10-29,0,0,Portugal
2023-11-05,6,3,Portugal
2023-11-12,3,0,Portugal
2023-11-19,2,2,Portugal
2023-11-26,4,3,Portugal
