Week,monkeypox,mpox,country
2022-11-06,0,0,Qatar
2022-11-13,93,0,Qatar
2022-11-20,0,0,Qatar
2022-11-27,0,93,Qatar
2022-12-04,37,0,Qatar
2022-12-11,0,43,Qatar
2022-12-18,42,40,Qatar
2022-12-25,40,75,Qatar
2023-01-01,0,0,Qatar
2023-01-08,46,0,Qatar
2023-01-15,0,41,Qatar
2023-01-22,0,0,Qatar
2023-01-29,0,0,Qatar
2023-02-05,100,0,Qatar
2023-02-12,0,0,Qatar
2023-02-19,0,66,Qatar
2023-02-26,33,0,Qatar
2023-03-05,0,38,Qatar
2023-03-12,0,0,Qatar
2023-03-19,0,0,Qatar
2023-03-26,65,0,Qatar
2023-04-02,0,0,Qatar
2023-04-09,0,81,Qatar
2023-04-16,0,0,Qatar
2023-04-23,0,0,Qatar
2023-04-30,0,51,Qatar
2023-05-07,88,0,Qatar
2023-05-14,0,0,Qatar
2023-05-21,76,0,Qatar
2023-05-28,0,0,Qatar
2023-06-04,57,0,Qatar
2023-06-11,0,0,Qatar
2023-06-18,0,0,Qatar
2023-06-25,0,0,Qatar
2023-07-02,76,0,Qatar
2023-07-09,0,0,Qatar
2023-07-16,0,42,Qatar
2023-07-23,0,0,Qatar
2023-07-30,48,51,Qatar
2023-08-06,0,0,Qatar
2023-08-13,75,0,Qatar
2023-08-20,0,37,Qatar
2023-08-27,0,0,Qatar
2023-09-03,0,0,Qatar
2023-09-10,41,0,Qatar
2023-09-17,0,0,Qatar
2023-09-24,0,0,Qatar
2023-10-01,0,0,Qatar
2023-10-08,0,0,Qatar
2023-10-15,0,0,Qatar
2023-10-22,0,0,Qatar
2023-10-29,0,33,Qatar
2023-11-05,0,0,Qatar
2023-11-12,0,0,Qatar
2023-11-19,0,33,Qatar
2023-11-26,0,0,Qatar
