Week,monkeypox,mpox,country
2022-11-06,50,0,Russia
2022-11-13,0,0,Russia
2022-11-20,26,0,Russia
2022-11-27,0,44,Russia
2022-12-04,59,0,Russia
2022-12-11,50,0,Russia
2022-12-18,0,0,Russia
2022-12-25,34,32,Russia
2023-01-01,71,0,Russia
2023-01-08,45,0,Russia
2023-01-15,0,38,Russia
2023-01-22,30,0,Russia
2023-01-29,29,0,Russia
2023-02-05,40,0,Russia
2023-02-12,0,0,Russia
2023-02-19,30,0,Russia
2023-02-26,24,64,Russia
2023-03-05,0,31,Russia
2023-03-12,66,0,Russia
2023-03-19,0,0,Russia
2023-03-26,0,28,Russia
2023-04-02,0,0,Russia
2023-04-09,0,0,Russia
2023-04-16,33,48,Russia
2023-04-23,0,0,Russia
2023-04-30,0,0,Russia
2023-05-07,0,0,Russia
2023-05-14,0,0,Russia
2023-05-21,0,0,Russia
2023-05-28,38,0,Russia
2023-06-04,0,23,Russia
2023-06-11,36,0,Russia
2023-06-18,45,77,Russia
2023-06-25,0,0,Russia
2023-07-02,0,0,Russia
2023-07-09,0,0,Russia
2023-07-16,100,0,Russia
2023-07-23,77,0,Russia
2023-07-30,53,0,Russia
2023-08-06,0,51,Russia
2023-08-13,0,0,Russia
2023-08-20,87,0,Russia
2023-08-27,57,0,Russia
2023-09-03,0,27,Russia
2023-09-10,0,0,Russia
2023-09-17,82,0,Russia
2023-09-24,31,0,Russia
2023-10-01,25,50,Russia
2023-10-08,92,0,Russia
2023-10-15,0,0,Russia
2023-10-22,0,0,Russia
2023-10-29,0,0,Russia
2023-11-05,0,0,Russia
2023-11-12,65,0,Russia
2023-11-19,0,0,Russia
2023-11-26,0,0,Russia
