Week,monkeypox,mpox,country
2022-11-06,40,0,Saudi Arabia
2022-11-13,31,23,Saudi Arabia
2022-11-20,16,0,Saudi Arabia
2022-11-27,24,0,Saudi Arabia
2022-12-04,19,0,Saudi Arabia
2022-12-11,10,0,Saudi Arabia
2022-12-18,25,13,Saudi Arabia
2022-12-25,29,0,Saudi Arabia
2023-01-01,9,0,Saudi Arabia
2023-01-08,24,0,Saudi Arabia
2023-01-15,14,0,Saudi Arabia
2023-01-22,0,15,Saudi Arabia
2023-01-29,23,19,Saudi Arabia
2023-02-05,0,0,Saudi Arabia
2023-02-12,10,0,Saudi Arabia
2023-02-19,0,0,Saudi Arabia
2023-02-26,19,0,Saudi Arabia
2023-03-05,0,0,Saudi Arabia
2023-03-12,16,10,Saudi Arabia
2023-03-19,0,0,Saudi Arabia
2023-03-26,10,0,Saudi Arabia
2023-04-02,20,0,Saudi Arabia
2023-04-09,0,0,Saudi Arabia
2023-04-16,21,14,Saudi Arabia
2023-04-23,68,0,Saudi Arabia
2023-04-30,44,0,Saudi Arabia
2023-05-07,28,0,Saudi Arabia
2023-05-14,21,0,Saudi Arabia
2023-05-21,50,0,Saudi Arabia
2023-05-28,25,0,Saudi Arabia
2023-06-04,20,15,Saudi Arabia
2023-06-11,49,10,Saudi Arabia
2023-06-18,10,27,Saudi Arabia
2023-06-25,23,0,Saudi Arabia
2023-07-02,39,0,Saudi Arabia
2023-07-09,100,14,Saudi Arabia
2023-07-16,26,0,Saudi Arabia
2023-07-23,23,11,Saudi Arabia
2023-07-30,55,0,Saudi Arabia
2023-08-06,75,15,Saudi Arabia
2023-08-13,31,0,Saudi Arabia
2023-08-20,22,0,Saudi Arabia
2023-08-27,41,30,Saudi Arabia
2023-09-03,49,37,Saudi Arabia
2023-09-10,30,18,Saudi Arabia
2023-09-17,36,0,Saudi Arabia
2023-09-24,56,16,Saudi Arabia
2023-10-01,44,11,Saudi Arabia
2023-10-08,20,0,Saudi Arabia
2023-10-15,23,12,Saudi Arabia
2023-10-22,0,12,Saudi Arabia
2023-10-29,36,0,Saudi Arabia
2023-11-05,0,20,Saudi Arabia
2023-11-12,0,0,Saudi Arabia
2023-11-19,0,0,Saudi Arabia
2023-11-26,0,0,Saudi Arabia
