Week,monkeypox,mpox,country
2022-11-06,100,0,Singapore
2022-11-13,62,0,Singapore
2022-11-20,69,0,Singapore
2022-11-27,52,42,Singapore
2022-12-04,67,0,Singapore
2022-12-11,64,16,Singapore
2022-12-18,32,0,Singapore
2022-12-25,19,0,Singapore
2023-01-01,60,0,Singapore
2023-01-08,0,27,Singapore
2023-01-15,39,28,Singapore
2023-01-22,34,0,Singapore
2023-01-29,21,0,Singapore
2023-02-05,53,17,Singapore
2023-02-12,16,22,Singapore
2023-02-19,0,0,Singapore
2023-02-26,56,0,Singapore
2023-03-05,46,0,Singapore
2023-03-12,23,0,Singapore
2023-03-19,0,0,Singapore
2023-03-26,29,0,Singapore
2023-04-02,30,0,Singapore
2023-04-09,26,25,Singapore
2023-04-16,28,0,Singapore
2023-04-23,23,0,Singapore
2023-04-30,48,17,Singapore
2023-05-07,36,27,Singapore
2023-05-14,58,0,Singapore
2023-05-21,17,0,Singapore
2023-05-28,0,41,Singapore
2023-06-04,42,0,Singapore
2023-06-11,0,0,Singapore
2023-06-18,20,0,Singapore
2023-06-25,34,0,Singapore
2023-07-02,35,26,Singapore
2023-07-09,57,0,Singapore
2023-07-16,48,27,Singapore
2023-07-23,28,0,Singapore
2023-07-30,18,21,Singapore
2023-08-06,69,0,Singapore
2023-08-13,33,0,Singapore
2023-08-20,17,0,Singapore
2023-08-27,41,28,Singapore
2023-09-03,40,0,Singapore
2023-09-10,0,0,Singapore
2023-09-17,34,0,Singapore
2023-09-24,24,0,Singapore
2023-10-01,46,26,Singapore
2023-10-08,69,0,Singapore
2023-10-15,35,0,Singapore
2023-10-22,0,17,Singapore
2023-10-29,46,0,Singapore
2023-11-05,69,0,Singapore
2023-11-12,0,0,Singapore
2023-11-19,57,0,Singapore
2023-11-26,24,0,Singapore
