Week,monkeypox,mpox,country
2022-11-06,72,0,South Africa
2022-11-13,77,0,South Africa
2022-11-20,44,0,South Africa
2022-11-27,100,0,South Africa
2022-12-04,56,0,South Africa
2022-12-11,91,29,South Africa
2022-12-18,42,0,South Africa
2022-12-25,44,0,South Africa
2023-01-01,35,0,South Africa
2023-01-08,27,17,South Africa
2023-01-15,40,0,South Africa
2023-01-22,29,0,South Africa
2023-01-29,19,0,South Africa
2023-02-05,44,0,South Africa
2023-02-12,62,0,South Africa
2023-02-19,0,0,South Africa
2023-02-26,25,0,South Africa
2023-03-05,15,0,South Africa
2023-03-12,29,0,South Africa
2023-03-19,22,15,South Africa
2023-03-26,20,11,South Africa
2023-04-02,23,10,South Africa
2023-04-09,0,0,South Africa
2023-04-16,38,11,South Africa
2023-04-23,0,17,South Africa
2023-04-30,0,22,South Africa
2023-05-07,0,9,South Africa
2023-05-14,37,29,South Africa
2023-05-21,20,0,South Africa
2023-05-28,0,0,South Africa
2023-06-04,31,0,South Africa
2023-06-11,11,16,South Africa
2023-06-18,0,0,South Africa
2023-06-25,0,0,South Africa
2023-07-02,0,0,South Africa
2023-07-09,0,0,South Africa
2023-07-16,10,0,South Africa
2023-07-23,0,0,South Africa
2023-07-30,22,0,South Africa
2023-08-06,17,0,South Africa
2023-08-13,0,0,South Africa
2023-08-20,10,0,South Africa
2023-08-27,0,0,South Africa
2023-09-03,16,0,South Africa
2023-09-10,8,0,South Africa
2023-09-17,0,0,South Africa
2023-09-24,15,0,South Africa
2023-10-01,14,0,South Africa
2023-10-08,32,0,South Africa
2023-10-15,0,0,South Africa
2023-10-22,0,0,South Africa
2023-10-29,13,0,South Africa
2023-11-05,0,0,South Africa
2023-11-12,9,0,South Africa
2023-11-19,0,0,South Africa
2023-11-26,17,21,South Africa
