Week,monkeypox,mpox,country
2022-11-06,46,0,South Korea
2022-11-13,41,20,South Korea
2022-11-20,31,0,South Korea
2022-11-27,16,0,South Korea
2022-12-04,32,0,South Korea
2022-12-11,0,20,South Korea
2022-12-18,0,0,South Korea
2022-12-25,31,0,South Korea
2023-01-01,0,0,South Korea
2023-01-08,0,0,South Korea
2023-01-15,0,25,South Korea
2023-01-22,0,0,South Korea
2023-01-29,0,13,South Korea
2023-02-05,19,0,South Korea
2023-02-12,31,0,South Korea
2023-02-19,18,13,South Korea
2023-02-26,0,0,South Korea
2023-03-05,0,20,South Korea
2023-03-12,0,0,South Korea
2023-03-19,18,0,South Korea
2023-03-26,0,0,South Korea
2023-04-02,14,25,South Korea
2023-04-09,42,83,South Korea
2023-04-16,58,100,South Korea
2023-04-23,72,30,South Korea
2023-04-30,28,38,South Korea
2023-05-07,66,64,South Korea
2023-05-14,53,28,South Korea
2023-05-21,47,11,South Korea
2023-05-28,49,26,South Korea
2023-06-04,44,19,South Korea
2023-06-11,42,13,South Korea
2023-06-18,40,24,South Korea
2023-06-25,20,0,South Korea
2023-07-02,23,0,South Korea
2023-07-09,17,28,South Korea
2023-07-16,51,0,South Korea
2023-07-23,38,10,South Korea
2023-07-30,33,11,South Korea
2023-08-06,15,10,South Korea
2023-08-13,13,0,South Korea
2023-08-20,26,0,South Korea
2023-08-27,30,20,South Korea
2023-09-03,52,0,South Korea
2023-09-10,17,0,South Korea
2023-09-17,40,0,South Korea
2023-09-24,33,0,South Korea
2023-10-01,0,10,South Korea
2023-10-08,0,0,South Korea
2023-10-15,36,28,South Korea
2023-10-22,12,0,South Korea
2023-10-29,35,11,South Korea
2023-11-05,14,10,South Korea
2023-11-12,0,0,South Korea
2023-11-19,13,21,South Korea
2023-11-26,0,0,South Korea
