Week,monkeypox,mpox,country
2022-11-06,64,0,Spain
2022-11-13,75,0,Spain
2022-11-20,100,0,Spain
2022-11-27,75,38,Spain
2022-12-04,46,0,Spain
2022-12-11,37,13,Spain
2022-12-18,39,37,Spain
2022-12-25,30,0,Spain
2023-01-01,0,0,Spain
2023-01-08,47,0,Spain
2023-01-15,21,0,Spain
2023-01-22,44,0,Spain
2023-01-29,30,24,Spain
2023-02-05,20,0,Spain
2023-02-12,0,0,Spain
2023-02-19,48,17,Spain
2023-02-26,44,14,Spain
2023-03-05,0,28,Spain
2023-03-12,46,14,Spain
2023-03-19,21,24,Spain
2023-03-26,29,46,Spain
2023-04-02,61,0,Spain
2023-04-09,24,14,Spain
2023-04-16,68,0,Spain
2023-04-23,14,29,Spain
2023-04-30,30,30,Spain
2023-05-07,0,21,Spain
2023-05-14,19,23,Spain
2023-05-21,31,39,Spain
2023-05-28,40,33,Spain
2023-06-04,12,15,Spain
2023-06-11,40,31,Spain
2023-06-18,0,0,Spain
2023-06-25,20,0,Spain
2023-07-02,0,29,Spain
2023-07-09,0,0,Spain
2023-07-16,0,0,Spain
2023-07-23,23,66,Spain
2023-07-30,13,0,Spain
2023-08-06,28,26,Spain
2023-08-13,15,0,Spain
2023-08-20,16,0,Spain
2023-08-27,15,0,Spain
2023-09-03,0,0,Spain
2023-09-10,19,0,Spain
2023-09-17,40,27,Spain
2023-09-24,0,0,Spain
2023-10-01,0,0,Spain
2023-10-08,13,69,Spain
2023-10-15,23,25,Spain
2023-10-22,0,48,Spain
2023-10-29,25,38,Spain
2023-11-05,0,0,Spain
2023-11-12,14,13,Spain
2023-11-19,12,11,Spain
2023-11-26,0,46,Spain
