Week,monkeypox,mpox,country
2022-11-06,34,0,Sweden
2022-11-13,30,0,Sweden
2022-11-20,0,0,Sweden
2022-11-27,66,0,Sweden
2022-12-04,81,0,Sweden
2022-12-11,100,0,Sweden
2022-12-18,87,56,Sweden
2022-12-25,0,0,Sweden
2023-01-01,96,0,Sweden
2023-01-08,0,37,Sweden
2023-01-15,0,0,Sweden
2023-01-22,0,0,Sweden
2023-01-29,61,0,Sweden
2023-02-05,0,36,Sweden
2023-02-12,46,87,Sweden
2023-02-19,54,0,Sweden
2023-02-26,0,0,Sweden
2023-03-05,0,100,Sweden
2023-03-12,0,28,Sweden
2023-03-19,0,0,Sweden
2023-03-26,0,0,Sweden
2023-04-02,0,0,Sweden
2023-04-09,0,0,Sweden
2023-04-16,46,58,Sweden
2023-04-23,0,50,Sweden
2023-04-30,0,0,Sweden
2023-05-07,54,0,Sweden
2023-05-14,46,0,Sweden
2023-05-21,54,0,Sweden
2023-05-28,48,36,Sweden
2023-06-04,0,0,Sweden
2023-06-11,32,0,Sweden
2023-06-18,0,0,Sweden
2023-06-25,0,0,Sweden
2023-07-02,75,30,Sweden
2023-07-09,0,0,Sweden
2023-07-16,0,0,Sweden
2023-07-23,0,0,Sweden
2023-07-30,84,0,Sweden
2023-08-06,57,0,Sweden
2023-08-13,0,0,Sweden
2023-08-20,48,0,Sweden
2023-08-27,0,0,Sweden
2023-09-03,0,0,Sweden
2023-09-10,57,0,Sweden
2023-09-17,0,41,Sweden
2023-09-24,0,0,Sweden
2023-10-01,53,0,Sweden
2023-10-08,46,0,Sweden
2023-10-15,54,0,Sweden
2023-10-22,0,0,Sweden
2023-10-29,30,0,Sweden
2023-11-05,42,0,Sweden
2023-11-12,0,40,Sweden
2023-11-19,0,0,Sweden
2023-11-26,56,35,Sweden
