Week,monkeypox,mpox,country
2022-11-06,100,0,Switzerland
2022-11-13,60,0,Switzerland
2022-11-20,52,0,Switzerland
2022-11-27,94,0,Switzerland
2022-12-04,0,26,Switzerland
2022-12-11,24,0,Switzerland
2022-12-18,55,0,Switzerland
2022-12-25,40,28,Switzerland
2023-01-01,20,23,Switzerland
2023-01-08,63,0,Switzerland
2023-01-15,38,24,Switzerland
2023-01-22,0,0,Switzerland
2023-01-29,0,0,Switzerland
2023-02-05,27,0,Switzerland
2023-02-12,0,0,Switzerland
2023-02-19,26,0,Switzerland
2023-02-26,22,25,Switzerland
2023-03-05,0,42,Switzerland
2023-03-12,20,0,Switzerland
2023-03-19,61,0,Switzerland
2023-03-26,22,0,Switzerland
2023-04-02,0,0,Switzerland
2023-04-09,0,0,Switzerland
2023-04-16,0,0,Switzerland
2023-04-23,0,0,Switzerland
2023-04-30,46,0,Switzerland
2023-05-07,19,21,Switzerland
2023-05-14,0,0,Switzerland
2023-05-21,0,0,Switzerland
2023-05-28,81,85,Switzerland
2023-06-04,0,0,Switzerland
2023-06-11,0,0,Switzerland
2023-06-18,27,24,Switzerland
2023-06-25,24,0,Switzerland
2023-07-02,0,0,Switzerland
2023-07-09,19,19,Switzerland
2023-07-16,24,0,Switzerland
2023-07-23,0,0,Switzerland
2023-07-30,0,20,Switzerland
2023-08-06,0,0,Switzerland
2023-08-13,0,0,Switzerland
2023-08-20,0,24,Switzerland
2023-08-27,50,0,Switzerland
2023-09-03,0,23,Switzerland
2023-09-10,0,40,Switzerland
2023-09-17,0,0,Switzerland
2023-09-24,0,0,Switzerland
2023-10-01,0,0,Switzerland
2023-10-08,24,0,Switzerland
2023-10-15,0,23,Switzerland
2023-10-22,0,29,Switzerland
2023-10-29,0,0,Switzerland
2023-11-05,0,0,Switzerland
2023-11-12,0,19,Switzerland
2023-11-19,0,0,Switzerland
2023-11-26,0,0,Switzerland
