Week,monkeypox,mpox,country
2022-11-06,0,0,Taiwan
2022-11-13,28,14,Taiwan
2022-11-20,0,0,Taiwan
2022-11-27,34,15,Taiwan
2022-12-04,0,21,Taiwan
2022-12-11,0,0,Taiwan
2022-12-18,21,0,Taiwan
2022-12-25,0,0,Taiwan
2023-01-01,16,0,Taiwan
2023-01-08,0,0,Taiwan
2023-01-15,34,29,Taiwan
2023-01-22,45,17,Taiwan
2023-01-29,15,0,Taiwan
2023-02-05,23,0,Taiwan
2023-02-12,0,0,Taiwan
2023-02-19,17,0,Taiwan
2023-02-26,73,0,Taiwan
2023-03-05,33,33,Taiwan
2023-03-12,60,0,Taiwan
2023-03-19,55,68,Taiwan
2023-03-26,39,30,Taiwan
2023-04-02,24,0,Taiwan
2023-04-09,23,100,Taiwan
2023-04-16,46,86,Taiwan
2023-04-23,35,0,Taiwan
2023-04-30,48,16,Taiwan
2023-05-07,0,0,Taiwan
2023-05-14,59,14,Taiwan
2023-05-21,22,23,Taiwan
2023-05-28,45,38,Taiwan
2023-06-04,45,19,Taiwan
2023-06-11,0,43,Taiwan
2023-06-18,27,28,Taiwan
2023-06-25,20,0,Taiwan
2023-07-02,23,41,Taiwan
2023-07-09,44,26,Taiwan
2023-07-16,18,0,Taiwan
2023-07-23,15,0,Taiwan
2023-07-30,0,26,Taiwan
2023-08-06,32,0,Taiwan
2023-08-13,0,20,Taiwan
2023-08-20,0,16,Taiwan
2023-08-27,26,0,Taiwan
2023-09-03,0,21,Taiwan
2023-09-10,0,0,Taiwan
2023-09-17,0,0,Taiwan
2023-09-24,0,27,Taiwan
2023-10-01,25,18,Taiwan
2023-10-08,66,26,Taiwan
2023-10-15,28,0,Taiwan
2023-10-22,0,22,Taiwan
2023-10-29,0,0,Taiwan
2023-11-05,31,64,Taiwan
2023-11-12,85,44,Taiwan
2023-11-19,0,0,Taiwan
2023-11-26,0,44,Taiwan
