Week,monkeypox,mpox,country
2022-11-06,40,0,Thailand
2022-11-13,21,0,Thailand
2022-11-20,21,0,Thailand
2022-11-27,37,0,Thailand
2022-12-04,29,15,Thailand
2022-12-11,54,0,Thailand
2022-12-18,34,0,Thailand
2022-12-25,0,0,Thailand
2023-01-01,23,0,Thailand
2023-01-08,21,0,Thailand
2023-01-15,18,0,Thailand
2023-01-22,13,0,Thailand
2023-01-29,16,23,Thailand
2023-02-05,15,0,Thailand
2023-02-12,38,19,Thailand
2023-02-19,15,0,Thailand
2023-02-26,23,0,Thailand
2023-03-05,0,0,Thailand
2023-03-12,0,0,Thailand
2023-03-19,16,0,Thailand
2023-03-26,32,11,Thailand
2023-04-02,13,17,Thailand
2023-04-09,0,13,Thailand
2023-04-16,0,0,Thailand
2023-04-23,21,30,Thailand
2023-04-30,0,16,Thailand
2023-05-07,16,20,Thailand
2023-05-14,36,28,Thailand
2023-05-21,23,0,Thailand
2023-05-28,36,0,Thailand
2023-06-04,19,0,Thailand
2023-06-11,0,0,Thailand
2023-06-18,10,0,Thailand
2023-06-25,61,13,Thailand
2023-07-02,42,28,Thailand
2023-07-09,52,0,Thailand
2023-07-16,43,13,Thailand
2023-07-23,39,0,Thailand
2023-07-30,29,51,Thailand
2023-08-06,20,30,Thailand
2023-08-13,56,27,Thailand
2023-08-20,94,48,Thailand
2023-08-27,85,0,Thailand
2023-09-03,100,62,Thailand
2023-09-10,58,38,Thailand
2023-09-17,75,35,Thailand
2023-09-24,90,0,Thailand
2023-10-01,69,12,Thailand
2023-10-08,37,0,Thailand
2023-10-15,51,28,Thailand
2023-10-22,43,47,Thailand
2023-10-29,46,16,Thailand
2023-11-05,28,36,Thailand
2023-11-12,32,29,Thailand
2023-11-19,13,20,Thailand
2023-11-26,26,0,Thailand
