Week,monkeypox,mpox,country
2022-11-06,0,0,Trinidad and Tobago
2022-11-13,0,0,Trinidad and Tobago
2022-11-20,0,0,Trinidad and Tobago
2022-11-27,0,0,Trinidad and Tobago
2022-12-04,0,0,Trinidad and Tobago
2022-12-11,0,0,Trinidad and Tobago
2022-12-18,0,0,Trinidad and Tobago
2022-12-25,0,0,Trinidad and Tobago
2023-01-01,3,0,Trinidad and Tobago
2023-01-08,6,0,Trinidad and Tobago
2023-01-15,0,0,Trinidad and Tobago
2023-01-22,1,0,Trinidad and Tobago
2023-01-29,0,2,Trinidad and Tobago
2023-02-05,1,0,Trinidad and Tobago
2023-02-12,2,0,Trinidad and Tobago
2023-02-19,2,0,Trinidad and Tobago
2023-02-26,0,0,Trinidad and Tobago
2023-03-05,2,0,Trinidad and Tobago
2023-03-12,0,0,Trinidad and Tobago
2023-03-19,0,0,Trinidad and Tobago
2023-03-26,0,2,Trinidad and Tobago
2023-04-02,0,0,Trinidad and Tobago
2023-04-09,2,0,Trinidad and Tobago
2023-04-16,0,0,Trinidad and Tobago
2023-04-23,0,2,Trinidad and Tobago
2023-04-30,2,0,Trinidad and Tobago
2023-05-07,2,0,Trinidad and Tobago
2023-05-14,0,0,Trinidad and Tobago
2023-05-21,0,0,Trinidad and Tobago
2023-05-28,0,2,Trinidad and Tobago
2023-06-04,0,0,Trinidad and Tobago
2023-06-11,0,0,Trinidad and Tobago
2023-06-18,1,0,Trinidad and Tobago
2023-06-25,0,0,Trinidad and Tobago
2023-07-02,0,0,Trinidad and Tobago
2023-07-09,100,6,Trinidad and Tobago
2023-07-16,32,3,Trinidad and Tobago
2023-07-23,13,3,Trinidad and Tobago
2023-07-30,7,3,Trinidad and Tobago
2023-08-06,2,0,Trinidad and Tobago
2023-08-13,2,0,Trinidad and Tobago
2023-08-20,0,0,Trinidad and Tobago
2023-08-27,0,2,Trinidad and Tobago
2023-09-03,2,0,Trinidad and Tobago
2023-09-10,2,0,Trinidad and Tobago
2023-09-17,1,0,Trinidad and Tobago
2023-09-24,0,3,Trinidad and Tobago
2023-10-01,2,0,Trinidad and Tobago
2023-10-08,2,0,Trinidad and Tobago
2023-10-15,2,2,Trinidad and Tobago
2023-10-22,0,0,Trinidad and Tobago
2023-10-29,0,0,Trinidad and Tobago
2023-11-05,3,0,Trinidad and Tobago
2023-11-12,2,2,Trinidad and Tobago
2023-11-19,8,2,Trinidad and Tobago
2023-11-26,2,0,Trinidad and Tobago
