Week,monkeypox,mpox,country
2022-11-06,77,0,Turkiye
2022-11-13,29,0,Turkiye
2022-11-20,0,0,Turkiye
2022-11-27,41,40,Turkiye
2022-12-04,29,0,Turkiye
2022-12-11,24,0,Turkiye
2022-12-18,38,0,Turkiye
2022-12-25,0,0,Turkiye
2023-01-01,0,0,Turkiye
2023-01-08,0,0,Turkiye
2023-01-15,0,0,Turkiye
2023-01-22,23,0,Turkiye
2023-01-29,0,0,Turkiye
2023-02-05,0,0,Turkiye
2023-02-12,0,0,Turkiye
2023-02-19,0,0,Turkiye
2023-02-26,15,0,Turkiye
2023-03-05,0,0,Turkiye
2023-03-12,18,0,Turkiye
2023-03-19,0,0,Turkiye
2023-03-26,0,15,Turkiye
2023-04-02,0,41,Turkiye
2023-04-09,21,0,Turkiye
2023-04-16,33,0,Turkiye
2023-04-23,100,45,Turkiye
2023-04-30,0,23,Turkiye
2023-05-07,16,0,Turkiye
2023-05-14,0,0,Turkiye
2023-05-21,23,0,Turkiye
2023-05-28,35,0,Turkiye
2023-06-04,51,0,Turkiye
2023-06-11,23,38,Turkiye
2023-06-18,0,17,Turkiye
2023-06-25,27,0,Turkiye
2023-07-02,0,0,Turkiye
2023-07-09,0,0,Turkiye
2023-07-16,0,0,Turkiye
2023-07-23,0,25,Turkiye
2023-07-30,0,0,Turkiye
2023-08-06,17,0,Turkiye
2023-08-13,0,0,Turkiye
2023-08-20,0,0,Turkiye
2023-08-27,0,0,Turkiye
2023-09-03,25,0,Turkiye
2023-09-10,41,0,Turkiye
2023-09-17,21,0,Turkiye
2023-09-24,0,0,Turkiye
2023-10-01,0,0,Turkiye
2023-10-08,0,0,Turkiye
2023-10-15,50,0,Turkiye
2023-10-22,41,0,Turkiye
2023-10-29,0,0,Turkiye
2023-11-05,0,0,Turkiye
2023-11-12,86,0,Turkiye
2023-11-19,0,0,Turkiye
2023-11-26,14,0,Turkiye
