Week,monkeypox,mpox,country
2022-11-06,74,0,United Kingdom
2022-11-13,51,0,United Kingdom
2022-11-20,46,0,United Kingdom
2022-11-27,100,15,United Kingdom
2022-12-04,43,0,United Kingdom
2022-12-11,37,1,United Kingdom
2022-12-18,37,3,United Kingdom
2022-12-25,28,2,United Kingdom
2023-01-01,26,3,United Kingdom
2023-01-08,24,2,United Kingdom
2023-01-15,20,2,United Kingdom
2023-01-22,25,0,United Kingdom
2023-01-29,21,0,United Kingdom
2023-02-05,19,3,United Kingdom
2023-02-12,18,2,United Kingdom
2023-02-19,19,6,United Kingdom
2023-02-26,18,4,United Kingdom
2023-03-05,16,4,United Kingdom
2023-03-12,14,4,United Kingdom
2023-03-19,21,6,United Kingdom
2023-03-26,12,2,United Kingdom
2023-04-02,20,1,United Kingdom
2023-04-09,17,4,United Kingdom
2023-04-16,17,4,United Kingdom
2023-04-23,19,5,United Kingdom
2023-04-30,17,6,United Kingdom
2023-05-07,14,2,United Kingdom
2023-05-14,15,4,United Kingdom
2023-05-21,22,10,United Kingdom
2023-05-28,23,4,United Kingdom
2023-06-04,18,4,United Kingdom
2023-06-11,17,7,United Kingdom
2023-06-18,18,6,United Kingdom
2023-06-25,18,4,United Kingdom
2023-07-02,16,5,United Kingdom
2023-07-09,17,1,United Kingdom
2023-07-16,13,3,United Kingdom
2023-07-23,13,4,United Kingdom
2023-07-30,11,5,United Kingdom
2023-08-06,6,3,United Kingdom
2023-08-13,7,3,United Kingdom
2023-08-20,12,4,United Kingdom
2023-08-27,18,0,United Kingdom
2023-09-03,11,2,United Kingdom
2023-09-10,11,1,United Kingdom
2023-09-17,12,3,United Kingdom
2023-09-24,10,2,United Kingdom
2023-10-01,8,5,United Kingdom
2023-10-08,8,3,United Kingdom
2023-10-15,5,2,United Kingdom
2023-10-22,7,3,United Kingdom
2023-10-29,6,0,United Kingdom
2023-11-05,9,3,United Kingdom
2023-11-12,7,2,United Kingdom
2023-11-19,9,3,United Kingdom
2023-11-26,7,5,United Kingdom
