Week,monkeypox,mpox,country
2022-11-06,100,<1,United States
2022-11-13,91,<1,United States
2022-11-20,68,<1,United States
2022-11-27,93,13,United States
2022-12-04,55,6,United States
2022-12-11,43,4,United States
2022-12-18,31,3,United States
2022-12-25,30,2,United States
2023-01-01,28,2,United States
2023-01-08,26,3,United States
2023-01-15,27,3,United States
2023-01-22,23,3,United States
2023-01-29,21,4,United States
2023-02-05,20,3,United States
2023-02-12,18,3,United States
2023-02-19,19,4,United States
2023-02-26,19,4,United States
2023-03-05,18,2,United States
2023-03-12,16,2,United States
2023-03-19,17,2,United States
2023-03-26,14,3,United States
2023-04-02,16,3,United States
2023-04-09,15,4,United States
2023-04-16,15,3,United States
2023-04-23,16,3,United States
2023-04-30,14,4,United States
2023-05-07,17,7,United States
2023-05-14,23,18,United States
2023-05-21,25,13,United States
2023-05-28,18,9,United States
2023-06-04,18,9,United States
2023-06-11,15,7,United States
2023-06-18,15,7,United States
2023-06-25,13,5,United States
2023-07-02,14,3,United States
2023-07-09,13,3,United States
2023-07-16,11,4,United States
2023-07-23,12,4,United States
2023-07-30,11,5,United States
2023-08-06,9,3,United States
2023-08-13,10,4,United States
2023-08-20,12,3,United States
2023-08-27,11,3,United States
2023-09-03,11,3,United States
2023-09-10,9,3,United States
2023-09-17,10,3,United States
2023-09-24,9,3,United States
2023-10-01,8,3,United States
2023-10-08,9,2,United States
2023-10-15,8,4,United States
2023-10-22,9,5,United States
2023-10-29,10,6,United States
2023-11-05,8,3,United States
2023-11-12,8,3,United States
2023-11-19,8,3,United States
2023-11-26,8,3,United States
