Week,monkeypox,mpox,country
2022-11-06,56,0,Vietnam
2022-11-13,61,0,Vietnam
2022-11-20,74,41,Vietnam
2022-11-27,26,0,Vietnam
2022-12-04,33,0,Vietnam
2022-12-11,0,0,Vietnam
2022-12-18,81,0,Vietnam
2022-12-25,20,0,Vietnam
2023-01-01,0,0,Vietnam
2023-01-08,0,0,Vietnam
2023-01-15,51,0,Vietnam
2023-01-22,0,0,Vietnam
2023-01-29,0,62,Vietnam
2023-02-05,83,77,Vietnam
2023-02-12,32,0,Vietnam
2023-02-19,68,0,Vietnam
2023-02-26,32,0,Vietnam
2023-03-05,43,0,Vietnam
2023-03-12,50,54,Vietnam
2023-03-19,20,0,Vietnam
2023-03-26,0,0,Vietnam
2023-04-02,31,0,Vietnam
2023-04-09,0,35,Vietnam
2023-04-16,0,0,Vietnam
2023-04-23,0,0,Vietnam
2023-04-30,37,38,Vietnam
2023-05-07,46,0,Vietnam
2023-05-14,47,0,Vietnam
2023-05-21,53,0,Vietnam
2023-05-28,25,0,Vietnam
2023-06-04,30,0,Vietnam
2023-06-11,69,0,Vietnam
2023-06-18,41,0,Vietnam
2023-06-25,0,0,Vietnam
2023-07-02,48,0,Vietnam
2023-07-09,0,0,Vietnam
2023-07-16,24,0,Vietnam
2023-07-23,0,0,Vietnam
2023-07-30,39,54,Vietnam
2023-08-06,60,0,Vietnam
2023-08-13,0,82,Vietnam
2023-08-20,0,0,Vietnam
2023-08-27,0,0,Vietnam
2023-09-03,32,0,Vietnam
2023-09-10,78,0,Vietnam
2023-09-17,91,0,Vietnam
2023-09-24,0,0,Vietnam
2023-10-01,74,88,Vietnam
2023-10-08,24,0,Vietnam
2023-10-15,65,0,Vietnam
2023-10-22,68,0,Vietnam
2023-10-29,100,26,Vietnam
2023-11-05,37,0,Vietnam
2023-11-12,31,0,Vietnam
2023-11-19,0,0,Vietnam
2023-11-26,31,32,Vietnam
