Date,monkeypox,mpox,monkeypox_ spanish
2022-10-30,65,0,27
2022-11-06,47,1,80
2022-11-13,0,1,28
2022-11-20,16,1,3
2022-11-27,0,66,100
2022-12-04,0,25,23
2022-12-11,0,60,21
2022-12-18,0,1,0
2022-12-25,25,0,1
2023-01-01,0,0,19
2023-01-08,0,0,52
2023-01-15,1,1,0
2023-01-22,0,38,1
2023-01-29,32,27,1
2023-02-05,1,0,0
2023-02-12,25,0,18
2023-02-19,23,2,1
2023-02-26,60,23,41
2023-03-05,0,0,0
2023-03-12,21,0,2
2023-03-19,36,0,18
2023-03-26,0,3,0
2023-04-02,1,0,0
2023-04-09,19,14,16
2023-04-16,33,0,1
2023-04-23,17,23,18
2023-04-30,45,1,0
2023-05-07,18,30,49
2023-05-14,0,23,1
2023-05-21,1,1,18
2023-05-28,0,15,1
2023-06-04,0,14,0
2023-06-11,2,68,1
2023-06-18,1,0,1
2023-06-25,0,77,0
2023-07-02,26,<1,21
2023-07-09,0,0,0
2023-07-16,2,37,1
2023-07-23,2,0,0
2023-07-30,1,52,0
2023-08-06,0,0,0
2023-08-13,0,0,0
2023-08-20,0,0,0
2023-08-27,19,1,37
2023-09-03,0,1,24
2023-09-10,0,0,0
2023-09-17,0,0,0
2023-09-24,2,31,0
2023-10-01,1,1,0
2023-10-08,0,0,0
2023-10-15,1,34,20
2023-10-22,1,0,0
2023-10-29,0,0,0
2023-11-05,0,46,19
2023-11-12,1,17,0
2023-11-19,17,25,20
2023-11-26,1,3,0
