Date,monkeypox,mpox,monkeypox_ Arabic
2022-10-30,27,0,0
2022-11-06,1,0,22
2022-11-13,29,0,0
2022-11-20,1,0,22
2022-11-27,0,0,0
2022-12-04,0,0,1
2022-12-11,1,0,19
2022-12-18,1,0,1
2022-12-25,33,0,1
2023-01-01,2,0,1
2023-01-08,1,0,1
2023-01-15,1,0,0
2023-01-22,0,0,1
2023-01-29,1,0,29
2023-02-05,0,0,0
2023-02-12,0,0,100
2023-02-19,0,0,0
2023-02-26,49,0,1
2023-03-05,3,0,26
2023-03-12,1,0,40
2023-03-19,0,0,0
2023-03-26,1,0,1
2023-04-02,0,0,0
2023-04-09,0,0,1
2023-04-16,0,0,1
2023-04-23,0,0,1
2023-04-30,31,0,0
2023-05-07,0,0,0
2023-05-14,0,0,0
2023-05-21,20,0,0
2023-05-28,1,0,0
2023-06-04,1,0,21
2023-06-11,0,0,1
2023-06-18,1,0,0
2023-06-25,0,0,26
2023-07-02,0,0,0
2023-07-09,0,0,1
2023-07-16,0,0,2
2023-07-23,0,0,19
2023-07-30,0,0,0
2023-08-06,1,0,0
2023-08-13,0,0,85
2023-08-20,0,0,0
2023-08-27,0,0,1
2023-09-03,29,0,1
2023-09-10,0,0,0
2023-09-17,1,0,0
2023-09-24,0,0,24
2023-10-01,0,0,0
2023-10-08,0,0,2
2023-10-15,0,0,1
2023-10-22,1,0,0
2023-10-29,19,0,1
2023-11-05,1,0,0
2023-11-12,0,0,0
2023-11-19,20,0,1
2023-11-26,0,0,2
