Date,monkeypox,mpox,monkeypox_ French
2022-10-30,63,0,45
2022-11-06,0,0,14
2022-11-13,0,2,43
2022-11-20,0,15,0
2022-11-27,54,0,24
2022-12-04,20,1,47
2022-12-11,52,0,26
2022-12-18,33,1,13
2022-12-25,20,0,33
2023-01-01,29,1,0
2023-01-08,19,0,49
2023-01-15,24,27,18
2023-01-22,<1,0,83
2023-01-29,19,<1,0
2023-02-05,39,0,18
2023-02-12,13,0,1
2023-02-19,34,0,0
2023-02-26,<1,20,23
2023-03-05,1,13,1
2023-03-12,1,13,0
2023-03-19,0,33,1
2023-03-26,0,1,0
2023-04-02,100,<1,1
2023-04-09,1,1,0
2023-04-16,14,<1,1
2023-04-23,31,1,0
2023-04-30,0,0,0
2023-05-07,0,0,0
2023-05-14,38,1,0
2023-05-21,17,18,28
2023-05-28,30,23,31
2023-06-04,41,25,1
2023-06-11,1,0,0
2023-06-18,0,0,12
2023-06-25,43,0,0
2023-07-02,0,0,0
2023-07-09,<1,36,30
2023-07-16,1,<1,14
2023-07-23,<1,1,0
2023-07-30,1,21,0
2023-08-06,14,0,0
2023-08-13,36,1,0
2023-08-20,1,1,0
2023-08-27,0,18,0
2023-09-03,20,0,0
2023-09-10,0,0,1
2023-09-17,0,0,0
2023-09-24,0,0,28
2023-10-01,0,0,1
2023-10-08,28,0,0
2023-10-15,0,0,27
2023-10-22,2,0,1
2023-10-29,0,0,21
2023-11-05,24,0,13
2023-11-12,1,0,0
2023-11-19,35,0,0
2023-11-26,39,0,0
