Date,monkeypox,mpox,monkeypox_ French
2022-10-30,0,0,0
2022-11-06,30,0,0
2022-11-13,100,0,3
2022-11-20,70,0,1
2022-11-27,3,0,0
2022-12-04,0,0,0
2022-12-11,2,0,0
2022-12-18,0,0,32
2022-12-25,0,0,0
2023-01-01,3,0,2
2023-01-08,1,0,0
2023-01-15,2,0,0
2023-01-22,0,0,0
2023-01-29,83,0,0
2023-02-05,0,0,0
2023-02-12,0,0,1
2023-02-19,0,0,34
2023-02-26,0,0,0
2023-03-05,29,0,1
2023-03-12,79,0,0
2023-03-19,0,0,0
2023-03-26,1,0,1
2023-04-02,27,0,32
2023-04-09,34,0,0
2023-04-16,0,0,0
2023-04-23,0,0,93
2023-04-30,0,0,0
2023-05-07,1,0,58
2023-05-14,3,0,0
2023-05-21,28,0,0
2023-05-28,2,0,0
2023-06-04,29,0,0
2023-06-11,2,0,2
2023-06-18,60,0,0
2023-06-25,0,0,2
2023-07-02,46,0,1
2023-07-09,2,0,55
2023-07-16,1,0,50
2023-07-23,1,0,62
2023-07-30,68,0,0
2023-08-06,0,0,0
2023-08-13,0,0,0
2023-08-20,56,0,0
2023-08-27,2,0,0
2023-09-03,0,0,0
2023-09-10,5,0,0
2023-09-17,40,0,2
2023-09-24,0,0,32
2023-10-01,3,0,3
2023-10-08,0,0,74
2023-10-15,40,0,0
2023-10-22,2,0,0
2023-10-29,72,0,43
2023-11-05,36,0,4
2023-11-12,2,0,0
2023-11-19,0,0,52
2023-11-26,1,0,0
