Date,monkeypox,mpox,monkeypox_ French
2022-10-30,0,0,0
2022-11-06,0,0,0
2022-11-13,<1,0,52
2022-11-20,0,0,0
2022-11-27,0,0,53
2022-12-04,0,0,0
2022-12-11,<1,0,0
2022-12-18,0,0,0
2022-12-25,0,0,0
2023-01-01,1,0,0
2023-01-08,0,0,0
2023-01-15,0,0,1
2023-01-22,1,0,0
2023-01-29,0,0,1
2023-02-05,15,0,1
2023-02-12,0,0,0
2023-02-19,0,0,0
2023-02-26,1,0,0
2023-03-05,0,0,0
2023-03-12,37,0,<1
2023-03-19,0,0,0
2023-03-26,0,0,0
2023-04-02,0,0,1
2023-04-09,1,0,1
2023-04-16,0,0,100
2023-04-23,0,0,45
2023-04-30,15,0,0
2023-05-07,0,0,1
2023-05-14,0,0,<1
2023-05-21,0,0,0
2023-05-28,1,0,<1
2023-06-04,0,0,1
2023-06-11,1,0,<1
2023-06-18,0,0,1
2023-06-25,0,0,0
2023-07-02,0,0,0
2023-07-09,0,0,17
2023-07-16,1,0,28
2023-07-23,1,0,0
2023-07-30,2,0,30
2023-08-06,22,0,0
2023-08-13,0,0,1
2023-08-20,13,0,1
2023-08-27,0,0,0
2023-09-03,<1,0,0
2023-09-10,0,0,0
2023-09-17,1,0,0
2023-09-24,<1,0,0
2023-10-01,17,0,1
2023-10-08,38,0,0
2023-10-15,26,0,0
2023-10-22,0,0,0
2023-10-29,0,0,2
2023-11-05,58,0,0
2023-11-12,1,0,0
2023-11-19,<1,0,26
2023-11-26,0,0,0
