Date,monkeypox,mpox,monkeypox_ French
2022-10-30,47,0,80
2022-11-06,31,0,1
2022-11-13,87,0,50
2022-11-20,3,0,2
2022-11-27,1,0,100
2022-12-04,24,0,4
2022-12-11,0,0,93
2022-12-18,0,0,1
2022-12-25,0,0,0
2023-01-01,0,0,1
2023-01-08,28,0,79
2023-01-15,39,0,0
2023-01-22,1,0,0
2023-01-29,0,0,0
2023-02-05,0,0,0
2023-02-12,0,0,2
2023-02-19,0,0,29
2023-02-26,42,0,0
2023-03-05,1,0,0
2023-03-12,23,0,0
2023-03-19,0,0,49
2023-03-26,0,0,35
2023-04-02,0,0,4
2023-04-09,0,0,1
2023-04-16,0,0,0
2023-04-23,3,0,0
2023-04-30,0,0,54
2023-05-07,0,0,0
2023-05-14,2,0,0
2023-05-21,46,0,46
2023-05-28,41,0,0
2023-06-04,44,0,47
2023-06-11,34,0,3
2023-06-18,35,0,32
2023-06-25,0,0,0
2023-07-02,0,0,0
2023-07-09,41,0,38
2023-07-16,0,0,0
2023-07-23,29,0,0
2023-07-30,1,0,3
2023-08-06,0,0,0
2023-08-13,0,0,2
2023-08-20,35,0,0
2023-08-27,1,0,4
2023-09-03,0,0,0
2023-09-10,0,0,0
2023-09-17,50,0,0
2023-09-24,0,0,0
2023-10-01,0,0,0
2023-10-08,1,0,0
2023-10-15,0,0,0
2023-10-22,0,0,0
2023-10-29,0,0,0
2023-11-05,2,0,0
2023-11-12,0,0,80
2023-11-19,39,0,0
2023-11-26,0,0,1
